,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,campaign_site
901,H8ID02064,"SIMPSON, MICHAEL",REP,ID,2,House,Idaho,Republican,https://simpsonforcongress.com/
902,H0IL01178,"EMMONS, ROBERT ALEX JR.",DEM,IL,1,House,Illinois,Democrat,https://www.robertemmons.org/
903,H0IL01186,"GAD, SARAH",DEM,IL,1,House,Illinois,Democrat,https://www.sarahgad2020.com/
904,H2IL01042,"RUSH, BOBBY LEE",DEM,IL,1,House,Illinois,Democrat,https://citizens4rush.com/
906,H2IL02172,"KELLY, ROBIN",DEM,IL,2,House,Illinois,Democrat,http://www.robinkellyforcongress.org/
909,H0IL03109,"DARWISH, RUSH MR",DEM,IL,3,House,Illinois,Democrat,https://rush4congress.com/
910,H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",DEM,IL,3,House,Illinois,Democrat,http://www.lipinskiforcongress.com/
911,H8IL03102,"NEWMAN, MARIE",DEM,IL,3,House,Illinois,Democrat,https://www.marienewmanforcongress.com/
912,H0IL03117,"FRICILONE, MIKE",REP,IL,3,House,Illinois,Republican,https://www.mikefricilone.com/
916,H8IL04084,"FLORES, MANUEL",DEM,IL,4,House,Illinois,Democrat,http://www.anitereflores.org/
917,H8IL04134,"GARCIA, JESUS",DEM,IL,4,House,Illinois,Democrat,https://chuyforcongress.com/
920,H0IL05096,"QUIGLEY, MIKE",DEM,IL,5,House,Illinois,Democrat,https://quigleyforcongress.com/
921,H0IL05351,"BURNS, BRIAN",DEM,IL,5,House,Illinois,Democrat,https://www.burns2020.com/
922,H8IL05131,"SCHWARTZBERG , STEVE J",DEM,IL,5,House,Illinois,Democrat,https://www.schwartzbergforcongress.com/
925,H8IL06105,"ZORDANI, JENNIFER MS.",DEM,IL,6,House,Illinois,Democrat,https://votezordani.com/
926,H8IL06121,"MAZESKI, KELLY",DEM,IL,6,House,Illinois,Democrat,http://www.kellymazeski.com/
927,H8IL06139,"CASTEN, SEAN",DEM,IL,6,House,Illinois,Democrat,https://castenforcongress.com/
928,H8IL06147,"CHENEY, CAROLE",DEM,IL,6,House,Illinois,Democrat,https://caroleforcongress.com
929,H0IL06052,"SANGUINETTI, EVELYN",REP,IL,6,House,Illinois,Republican,https://www.evelyn2020.com/
930,H0IL06060,"IVES, JEANNE",REP,IL,6,House,Illinois,Republican,https://www.jeanneforcongress.com/
931,H0IL06078,"KINZLER, GORDON J",REP,IL,6,House,Illinois,Republican,https://kinzlerforcongress.org/
932,H6IL06117,"ROSKAM, PETER",REP,IL,6,House,Illinois,Republican,https://roskamforcongress.com
933,H0IL07167,"COLLINS, KINA ISIS",DEM,IL,7,House,Illinois,Democrat,https://kinaforcongress.com/
934,H0IL07175,"SCHANBACHER, KRISTINE",DEM,IL,7,House,Illinois,Democrat,http://votekristine.com/
935,H4IL07037,"DAVIS, DANNY K",DEM,IL,7,House,Illinois,Democrat,https://www.dkdcongress.com/
936,H8IL07103,"CLARK, ANTHONY",DEM,IL,7,House,Illinois,Democrat,https://www.voteanthonyclark.com/
937,H0IL07159,"JENNINGS, TRACY",NNE,IL,7,House,Illinois,Other,https://tracyjenningscongress.com/
938,H0IL08140,"HUSSAIN, INAM DR",DEM,IL,8,House,Illinois,Democrat,https://www.drinamforcongress.com/
939,H6IL08147,"KRISHNAMOORTHI, S. RAJA",DEM,IL,8,House,Illinois,Democrat,https://rajaforcongress.com/
941,H8IL08101,"DIGANVKER, JITENDRA JD",REP,IL,8,House,Illinois,Republican,https://www.jdforcongress.com/
942,H0IL09098,"TARNASIEWICZ-HELDUT, ANDREW",DEM,IL,9,House,Illinois,Democrat,https://www.andrewheldut.com/
943,H8IL09067,"SCHAKOWSKY, JANICE D",DEM,IL,9,House,Illinois,Democrat,http://www.janschakowsky.org/
944,H8IL09190,"SANGARI, SARGIS",REP,IL,9,House,Illinois,Republican,https://votesangari.com/
946,H0IL10328,"SUMPTION, MILTON J",DEM,IL,10,House,Illinois,Democrat,https://web.archive.org/web/2/http://sumptionforstatesenate.com/
947,H0IL10377,"BROAD, ADAM",DEM,IL,10,House,Illinois,Democrat,https://adambroad2020.org/
949,H6IL10135,"RODKIN ROTERING, NANCY",DEM,IL,10,House,Illinois,Democrat,https://www.friendsofnancy.com/
951,H0IL10351,"MUKHERJEE, VALERIE RAMIREZ",REP,IL,10,House,Illinois,Republican,https://valforcongress.com/
953,H0IL11102,"VENTURA, RACHEL F",DEM,IL,11,House,Illinois,Democrat,https://www.rachelfventura.com/
954,H8IL14067,"FOSTER, G. WILLIAM (BILL)",DEM,IL,11,House,Illinois,Democrat,https://www.billfoster.com/
955,H0IL11110,"LAIB, RICK",REP,IL,11,House,Illinois,Republican,https://www.ricklaib2020.com/
956,H0IL11128,"BANSAL, KRISHNA K",REP,IL,11,House,Illinois,Republican,https://www.krishnaforcongress.com/
957,H4IL11229,"ROBBINS, CRAIG",REP,IL,11,House,Illinois,Republican,http://robbinsforcongress.com/
958,H6IL11117,"KHOURI, TONIA",REP,IL,11,House,Illinois,Republican,https://toniakhouri.com
959,H6IL11133,"STELLA, DOMINICK J. M.D.",REP,IL,11,House,Illinois,Republican,https://stellaforcongress.com
960,H0IL12092,"FUNK, JOEL DAVID",DEM,IL,12,House,Illinois,Democrat,https://www.joelforrichlandco.com
962,H6IL12099,"BARICEVIC, CHARLES JOHN",DEM,IL,12,House,Illinois,Democrat,http://www.cjforcongress.com/
965,H4IL12060,"BOST, MICHAEL",REP,IL,12,House,Illinois,Republican,https://bostforcongress.com/
966,H0IL13066,"SMITH, STEFANIE",DEM,IL,13,House,Illinois,Democrat,https://www.stefanie2020.com/
967,H8IL13150,"LONDRIGAN, BETSY DIRKSEN",DEM,IL,13,House,Illinois,Democrat,https://www.betsydirksenlondrigan.com/
968,H2IL13120,"DAVIS, RODNEY L",REP,IL,13,House,Illinois,Republican,https://electrodney.com/
969,H8IL14166,"BROLLEY, MATT",DEM,IL,14,House,Illinois,Democrat,https://brolley4congress.com
970,H8IL14174,"UNDERWOOD, LAUREN",DEM,IL,14,House,Illinois,Democrat,https://www.underwoodforcongress.com/
972,H0IL14148,"QUIGLEY, MATTHEW MARK MR.",REP,IL,14,House,Illinois,Republican,https://quigleyforcongress.com/
973,H0IL14155,"MALOUF, DANIEL",REP,IL,14,House,Illinois,Republican,https://www.danny2020.com/
974,H0IL14163,"GRADEL, TED",REP,IL,14,House,Illinois,Republican,https://tedgradel.com/
975,H0IL14189,"REZIN, SUE",REP,IL,14,House,Illinois,Republican,https://rezinforcongress.com/
976,H0IL14197,"LAUF, CATALINA",REP,IL,14,House,Illinois,Republican,https://www.catalinaforcongress.com/
977,H0IL14205,"CATELLA, ANTHONY",REP,IL,14,House,Illinois,Republican,https://catellaforcongress.com/
978,H0IL14213,"EVANS, JERRY",REP,IL,14,House,Illinois,Republican,https://www.jerryforcongress.com/
980,H8IL14083,"OBERWEIS, JIM",REP,IL,14,House,Illinois,Republican,https://jim2020.com/
981,H8IL16153,"MARTER, JAMES THOMAS",REP,IL,14,House,Illinois,Republican,https://marter4congress.us/
982,H0IL15194,"WEAVER, ERIKA C",DEM,IL,15,House,Illinois,Democrat,https://weaverforillinois.com/
983,H0IL15210,"MORTON, CRAIG",DEM,IL,15,House,Illinois,Democrat,https://mortonforil.com
984,H8IL15072,"GAITHER, KEVIN",DEM,IL,15,House,Illinois,Democrat,https://gaither4il.com/
985,H0IL15129,"MILLER, MARY",REP,IL,15,House,Illinois,Republican,https://www.marymillerforcongress.com/
988,H0IL15186,"DUNCAN, DARREN",REP,IL,15,House,Illinois,Republican,https://www.duncanforillinois.com/
989,H0IL15202,"ELLINGTON, CHARLES RICHARD DR. JR.",REP,IL,15,House,Illinois,Republican,https://drchuckellingtonforcongress.com/
990,H2IL20042,"SHIMKUS, JOHN M",REP,IL,15,House,Illinois,Republican,https://volunteersforshimkus.com
992,H0IL16184,"BRZOZOWSKI, DANI",DEM,IL,16,House,Illinois,Democrat,https://www.daniforillinois.com/
993,H8IL16096,"MOHAMMAD, NEILL DR.",DEM,IL,16,House,Illinois,Democrat,https://neillforillinois.com
995,H0IL11052,"KINZINGER, ADAM",REP,IL,16,House,Illinois,Republican,http://www.electadam.com/
996,H2IL17071,"BUSTOS, CHERI",DEM,IL,17,House,Illinois,Democrat,http://www.cheribustos.com/
997,H0IL17083,"KING, ESTHER JOY",REP,IL,17,House,Illinois,Republican,https://estherforcongress.com/
998,H4IL17077,"FAWELL, WILLIAM W",REP,IL,17,House,Illinois,Republican,https://electfawell.org/
1001,H8IL18092,"DETERS, BRIAN",DEM,IL,18,House,Illinois,Democrat,https://briandetersforcongress.com/
1005,H0IN01135,"MCDERMOTT, THOMAS M JR",DEM,IN,1,House,Indiana,Democrat,https://www.gomcdermott.com/
1006,H0IN01143,"HARPER, JAMES",DEM,IN,1,House,Indiana,Democrat,http://www.harperinthehouse.com
1007,H0IN01150,"MRVAN, FRANK J.",DEM,IN,1,House,Indiana,Democrat,https://mrvanforcongress.com/
1008,H0IN01168,"REARDON, MARA",DEM,IN,1,House,Indiana,Democrat,http://maraforindiana.com/
1009,H0IN01184,"HAAKE, SABRINA",DEM,IN,1,House,Indiana,Democrat,https://sabrinahaakeforcongress.com/
1010,H0IN01267,"COSTELLO, SCOTT L MR",DEM,IN,1,House,Indiana,Democrat,https://scottcostello.org/
1011,H4IN01012,"VISCLOSKY, PETER J.",DEM,IN,1,House,Indiana,Democrat,http://www.viscloskyforcongress.us/
1012,H0IN01218,"SCAIFE, DELANO MICHAEL",REP,IN,1,House,Indiana,Republican,https://www.scaife4indiana.com/
1013,H0IN01242,"HANDLEY, MONT ANDREW",REP,IN,1,House,Indiana,Republican,https://monthandley.com/
1015,H0IN02232,"MARKS, ELLEN L.",DEM,IN,2,House,Indiana,Democrat,https://www.ellenmarksforcongress.com/
1017,H8IN02169,"HALL, MEL",DEM,IN,2,House,Indiana,Democrat,https://melforcongress.com
1018,H8IN02177,"HACKETT, MARY PATRICIA",DEM,IN,2,House,Indiana,Democrat,https://pathackettforcongress.com/
1019,H0IN02190,"WALORSKI SWIHART, JACKIE",REP,IN,2,House,Indiana,Republican,https://www.standwithjackie.com
1021,H0IN03230,"COLDIRON, CHIP WINTER MR.",DEM,IN,3,House,Indiana,Democrat,https://www.coldiron4congress.com/
1023,H0IN03222,"MAGIERA, CHRIS",REP,IN,3,House,Indiana,Republican,https://drchrismagiera.com/
1024,H6IN03229,"BANKS, JAMES E HON.",REP,IN,3,House,Indiana,Republican,http://www.jimbanks.us/
1025,H8IN04140,"MACKEY, JOSEPH WILLIAM MR",DEM,IN,4,House,Indiana,Democrat,https://www.joe4hoosiers.com/
1026,H0IN04170,"ROKITA, THEODORE EDWARD",REP,IN,4,House,Indiana,Republican,https://toddrokita.com
1027,H8IN04199,"BAIRD, JAMES R DR.",REP,IN,4,House,Indiana,Republican,http://www.electjimbaird.com/
1028,H0IN05219,"HALE, CHRISTINA",DEM,IN,5,House,Indiana,Democrat,https://haleforcongress.com/
1029,H0IN05227,"JACOBS, ANDREW JAMES JR.",DEM,IN,5,House,Indiana,Democrat,https://www.andyjacobsforcongress.com/
1030,H8IN05188,"THORNTON, DIERDRE",DEM,IN,5,House,Indiana,Democrat,http://www.deethorntonforcongress.com/
1031,H8IN05196,"CHRISTIE, JENNIFER",DEM,IN,5,House,Indiana,Democrat,https://www.jenniferforindiana.com/
1032,H0IN05201,"BECKWITH, MICAH",REP,IN,5,House,Indiana,Republican,https://www.beckwith4congress.com/
1034,H0IN05243,"MITCHELL, KELLY",REP,IN,5,House,Indiana,Republican,https://www.hoosiersforkelly.com/
1035,H0IN05250,"DIETZEN, CHUCK DR.",REP,IN,5,House,Indiana,Republican,http://www.drchuckforcongress.com/
1036,H0IN05268,"ABERNATHY, KENT",REP,IN,5,House,Indiana,Republican,https://kentabernathy.com/
1037,H0IN05276,"HENDERSON, BETH ELAINE",REP,IN,5,House,Indiana,Republican,https://www.bethforindiana.com/
1038,H0IN05284,"BALES, ANDREW PETER",REP,IN,5,House,Indiana,Republican,https://www.balesforcongress.com/
1040,H0IN05326,"SPARTZ, VICTORIA",REP,IN,5,House,Indiana,Republican,https://www.spartzforcongress.com/
1041,H0IN05334,"BRIZZI, CARL JOSEPH",REP,IN,5,House,Indiana,Republican,https://www.votebrizzi.com/
1042,H2IN05082,"BROOKS, SUSAN MRS.",REP,IN,5,House,Indiana,Republican,http://www.susanbrooksforcongress.com/
1044,H4IN05112,"DAVIDSON, ALLEN RAY",REP,IN,5,House,Indiana,Republican,https://www.ard4in05.com/
1045,H8IN06152,"LAKE, JEANNINE LEE",DEM,IN,6,House,Indiana,Democrat,https://jeannineleelakeforcongress.com/
1046,H0IN02125,"MESSER, ALLEN LUCAS",REP,IN,6,House,Indiana,Republican,https://jimlucasforhouse.com
1047,H2IN06171,"BATES, DON JR",REP,IN,6,House,Indiana,Republican,https://web.archive.org/web/2/http://www.batesforcongress.com/
1048,H8IN06079,"LAMB, JONATHAN M.",REP,IN,6,House,Indiana,Republican,https://electlamb.com
1049,H8IN06129,"PENCE, GREGORY J.",REP,IN,6,House,Indiana,Republican,https://gregpenceforcongress.com
1051,H8IN07184,"CARSON, ANDRE",DEM,IN,7,House,Indiana,Democrat,http://andrecarson.com/
1052,H0IN07256,"SMITH, SUSAN MARIE",REP,IN,7,House,Indiana,Republican,http://susanfor7thdistrict.com/
1053,H8IN07150,"HARMON, WAYNE EDWARD",REP,IN,7,House,Indiana,Republican,http://www.weharmon.com
1055,H0IN08213,"MARSILI, THOMASINA",DEM,IN,8,House,Indiana,Democrat,https://www.hopein8.com/
1056,H6IN08244,"DRAKE, RON",DEM,IN,8,House,Indiana,Democrat,http://www.rondrakeforcongress.com/
1057,H0IN08114,"BUCSHON, LARRY D.",REP,IN,8,House,Indiana,Republican,http://bucshonforcongress.com/
1060,H0IN09179,"RUFF, ANDY",DEM,IN,9,House,Indiana,Democrat,https://www.andyruff.org/
1061,H8IN09081,"CANON, DANIEL J",DEM,IN,9,House,Indiana,Democrat,http://canonforindiana.com/
1062,H8IN09107,"WATSON, LIZ",DEM,IN,9,House,Indiana,Democrat,https://lizforindiana.com
1063,H0IN09070,"YOUNG, TODD CHRISTOPHER",REP,IN,9,House,Indiana,Republican,https://www.toddyoung.org/
1064,H6IN09150,"WALTZ, DARRYL BRENT JR",REP,IN,9,House,Indiana,Republican,http://www.brentwaltz.com/
1066,H6IN09176,"HOLLINGSWORTH, TREY",REP,IN,9,House,Indiana,Republican,http://www.votefortrey.com
1067,H0IN09138,"KNOTT, GREG S",LIB,IN,9,House,Indiana,Libertarian,https://www.knott.us
1069,H0KS01172,"BARNETT, KALI",DEM,KS,1,House,Kansas,Democrat,https://kaliforkansas.com/
1070,H0KS01214,"DAVIS, CHRISTY",DEM,KS,1,House,Kansas,Democrat,https://www.christydavisforkansas.com/
1071,H4KS01059,"LAPOLICE, ALAN",DEM,KS,1,House,Kansas,Democrat,http://www.alanlapolice.com/
1072,H0KS01123,"MANN, TRACEY ROBERT",REP,KS,1,House,Kansas,Republican,https://www.traceymann.com/
1073,H0KS01198,"CLIFFORD, BILL DR",REP,KS,1,House,Kansas,Republican,https://www.cliffordforcongress.com/
1074,H0KS01222,"WAYMASTER, TROY",REP,KS,1,House,Kansas,Republican,https://www.troywaymaster.com/
1076,H6KS01179,"MARSHALL, ROGER W",REP,KS,1,House,Kansas,Republican,https://kansansformarshall.com/
1078,H0KS02196,"DE LA ISLA, MICHELLE",DEM,KS,2,House,Kansas,Democrat,https://www.michelleforkansas.com/
1080,H0KS02188,"LATURNER, JAKE",REP,KS,2,House,Kansas,Republican,https://www.jakelaturner.com/
1083,H8KS02199,"WATKINS, STEVEN C. JR.",REP,KS,2,House,Kansas,Republican,https://steveforkansas.com/
1085,H8KS03106,"RAMSEY, ANDREA",DEM,KS,3,House,Kansas,Democrat,http://www.voteramsey.com/
1086,H8KS03114,"NIERMANN, TOM",DEM,KS,3,House,Kansas,Democrat,https://NiermannforCongress.com
1087,H8KS03122,"WELDER, BRENT",DEM,KS,3,House,Kansas,Democrat,http://www.brentwelder.com/
1088,H8KS03155,"DAVIDS, SHARICE",DEM,KS,3,House,Kansas,Democrat,https://www.shariceforcongress.com/home
1089,H0KS03137,"YODER, KEVIN",REP,KS,3,House,Kansas,Republican,http://yoderforcongress.com/
1090,H0KS03228,"WEIR, SARA HART",REP,KS,3,House,Kansas,Republican,https://www.saraforkansas.com/
1091,H0KS03236,"ADKINS, AMANDA",REP,KS,3,House,Kansas,Republican,https://amandaadkins.com/
1092,H0KS03244,"FOSTER, ADRIENNE",REP,KS,3,House,Kansas,Republican,https://www.adrienneforkansas.com/
1093,H0KS03251,"BEEHLER, MICHAEL E.",REP,KS,3,House,Kansas,Republican,https://electmikebeehler.com/
1094,H8KS04088,"LOMBARD, LAURA",DEM,KS,4,House,Kansas,Democrat,http://lauraforkansas.com
1095,H8KS04120,"THOMPSON, JAMES A MR.",DEM,KS,4,House,Kansas,Democrat,http://www.votejamesthompson.com/
1097,H8KS04112,"ESTES, RON",REP,KS,4,House,Kansas,Republican,https://estesforcongress.com/
1098,H6KS04173,"WALZ-ALLEN, MIRANDA",IND,KS,4,House,Kansas,Independent,http://www.allenforkansas.com/
1099,H8KY01074,"WALKER, PAUL",DEM,KY,1,House,Kentucky,Democrat,https://votepaulwalker.com
1100,H6KY01110,"COMER, JAMES",REP,KY,1,House,Kentucky,Republican,https://jamescomer.com/
1101,H8KY02080,"LINDERMAN, HANK",DEM,KY,2,House,Kentucky,Democrat,https://hank4ky.com/
1102,H8KY02031,"GUTHRIE, S. BRETT HON.",REP,KY,2,House,Kentucky,Republican,https://brettguthrie.com
1103,H0KY02095,"PERRY, ROBERT LEE",LIB,KY,2,House,Kentucky,Libertarian,https://www.perry4ky.com/
1104,H6KY03124,"YARMUTH, JOHN",DEM,KY,3,House,Kentucky,Democrat,https://www.yarmuthforcongress.com
1105,H0KY03242,"EDDINGS, WAYMEN",REP,KY,3,House,Kentucky,Republican,http://www.waymeneddings.com/
1107,H0KY03267,"SERRANO, GERARDO",REP,KY,3,House,Kentucky,Republican,http://serrano4congress.com/
1108,H8KY03211,"GLISSON, VICKIE YATES BROWN",REP,KY,3,House,Kentucky,Republican,https://glissonforlouisville.com/
1109,H0KY04117,"OWENSBY, ALEXANDRA DR.",DEM,KY,4,House,Kentucky,Democrat,http://amowensby.com
1110,H0KY04125,"FABERT, SHANNON",DEM,KY,4,House,Kentucky,Democrat,https://fabert2020.org/
1111,H8KY04169,"HALL, SETH BLANE",DEM,KY,4,House,Kentucky,Democrat,http://www.blaineforcongress.com/
1112,H0KY04133,"MCMURTRY, TODD",REP,KY,4,House,Kentucky,Republican,http://mcmurtryforcongress.com/
1113,H2KY04121,"MASSIE, THOMAS H.",REP,KY,4,House,Kentucky,Republican,https://www.thomasmassie.com/
1115,H0KY05015,"ROGERS, HAROLD DALLAS",REP,KY,5,House,Kentucky,Republican,https://congressmanhalrogers.com/
1118,H8KY06164,"MCGRATH, AMY",DEM,KY,6,House,Kentucky,Democrat,https://amymcgrath.com/
1119,H8KY06172,"GRAY, JAMES P.",DEM,KY,6,House,Kentucky,Democrat,http://www.jpgraynh.com
1120,H8KY06180,"KEMPH , DANIEL",DEM,KY,6,House,Kentucky,Democrat,http://www.kemph2020.com/index.php
1121,H0KY06104,"BARR, GARLAND ANDY",REP,KY,6,House,Kentucky,Republican,https://andybarrforcongress.com
1122,H4KY06163,"YOUNG, GEOFFREY M",REP,KY,6,House,Kentucky,Republican,https://www.young4ky.com/
1123,H8LA01122,"SAVOIE, TAMMY MARIE DR",DEM,LA,1,House,Louisiana,Democrat,https://www.tammysavoie.com/
1124,H8LA01130,"FRANCIS, JIM",DEM,LA,1,House,Louisiana,Democrat,http://www.jimfrancisforcongress.com
1125,H0LA01087,"SCALISE, STEVE MR",REP,LA,1,House,Louisiana,Republican,https://stevescalise.com/
1126,H8LA02054,"RICHMOND, CEDRIC L.",DEM,LA,2,House,Louisiana,Democrat,https://www.cedricrichmond.com/
1127,H8LA02153,"SCHMIDT, JESSE",NPA,LA,2,House,Louisiana,Other,https://www.jesseschmidtforcongress.com
1129,H6LA03155,"RADER, LARRY",DEM,LA,3,House,Louisiana,Democrat,http://www.larryraderforcongress.com/
1130,H8LA03060,"ANDERSON, ROBERT JON",DEM,LA,3,House,Louisiana,Democrat,https://www.robandersonforcongress.com/
1131,H8LA03094,"METHVIN, MIMI",DEM,LA,3,House,Louisiana,Democrat,https://votemimi.org/
1133,H6LA03080,"KNEZEK, ERICK",REP,LA,3,House,Louisiana,Republican,http://erickknezek.com/
1134,H6LA03130,"ANGELLE, SCOTT MR.",REP,LA,3,House,Louisiana,Republican,https://captainhiggins.com/
1135,H6LA03148,"HIGGINS, CLAY CAPTAIN",REP,LA,3,House,Louisiana,Republican,https://captainhiggins.com/
1137,H2LA04103,"MILKOVICH, JOHN CHARLES",DEM,LA,4,House,Louisiana,Democrat,https://www.johnmilkovichforsenate.com/
1138,H6LA04153,"JONES JR, J MARSHALL",DEM,LA,4,House,Louisiana,Democrat,https://jayjones.com/
1139,H8LA04282,"TRUNDLE, RYAN",DEM,LA,4,House,Louisiana,Democrat,https://www.ryantrundle.com/
1141,H0LA05104,"ROBINSON, RANDALL SCOTT",REP,LA,5,House,Louisiana,Republican,https://scottyforcongress.com/
1142,H0LA05120,"LETLOW, LUKE JOSHUA",REP,LA,5,House,Louisiana,Republican,https://lukeletlow.com/
1145,H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",REP,LA,5,House,Louisiana,Republican,http://www.ralphabraham.com/
1146,H4LA06120,"THOMAS, CHARLES 'TREY' DR III",REP,LA,6,House,Louisiana,Republican,https://web.archive.org/web/2/http://www.charlestreythomas.com/
1147,H4LA06153,"GRAVES, GARRET",REP,LA,6,House,Louisiana,Republican,https://www.garretgravesforcongress.com/
1150,H0MA01081,"MORSE, ALEX",DEM,MA,1,House,Massachusetts,Democrat,https://alexmorseforcongress.com/
1151,H8MA01050,"AMATUL-WADUD, TAHIRAH",DEM,MA,1,House,Massachusetts,Democrat,https://tahirahforcongress.com/
1152,H8MA02041,"NEAL, RICHARD E MR.",DEM,MA,1,House,Massachusetts,Democrat,https://www.nealforcongress.com/
1153,H0MA01073,"CAIN, JOHN",REP,MA,1,House,Massachusetts,Republican,https://johncain4ma.com/
1154,H8MA01035,"BECH, NATHAN ALEXANDER",REP,MA,1,House,Massachusetts,Republican,https://alexanderforsc.com/
1156,H4MA03022,"MCGOVERN, JAMES P. MR.",DEM,MA,2,House,Massachusetts,Democrat,https://jimmcgovern.com
1158,H8MA02116,"LOVVORN, TRACY LYN",REP,MA,2,House,Massachusetts,Republican,https://tracyforcongress.com/
1159,H8MA03072,"KOH, DANIEL ARRIGG",DEM,MA,3,House,Massachusetts,Democrat,https://koh2018.com/
1160,H8MA03106,"TRAHAN, LORI",DEM,MA,3,House,Massachusetts,Democrat,https://loritrahan.com/
1161,H8MA03122,"MATIAS, JUANA",DEM,MA,3,House,Massachusetts,Democrat,http://www.juanamatias.com/
1166,H8MA03197,"L'ITALIEN, BARBARA",DEM,MA,3,House,Massachusetts,Democrat,http://teambarbara.com/
1170,H8MA03221,"MULLEN, MICHAEL P MR.",UN,MA,3,House,Massachusetts,Other,https://www.mullen2018.com/
1176,H0MA04192,"AUCHINCLOSS, JAKE",DEM,MA,4,House,Massachusetts,Democrat,https://www.jakeforma.com/
1177,H0MA04200,"CAVELL, DAVID F",DEM,MA,4,House,Massachusetts,Democrat,https://www.davecavell.com/
1178,H0MA04218,"SIGEL, BEN",DEM,MA,4,House,Massachusetts,Democrat,https://bensigelforcongress.com/
1180,H8MA04047,"ROBINSON, HERB",DEM,MA,4,House,Massachusetts,Democrat,http://herbrobinson.us
1181,H4MA05084,"CLARK, KATHERINE",DEM,MA,5,House,Massachusetts,Democrat,https://www.katherineclark.org/
1183,H2MA05120,"ADDIVINOLA, FRANK JOHN JR",REP,MA,5,House,Massachusetts,Republican,http://www.frankaddivinola.com/
1185,H0MA06098,"BELSITO, JAMIE MARIE ZAHLAWAY",DEM,MA,6,House,Massachusetts,Democrat,https://belsitoforcongress.com/
1186,H0MA06106,"MULCAHY, D.NATHANIEL",DEM,MA,6,House,Massachusetts,Democrat,https://www.mulcahy2020.com/
1187,H0MA06114,"PETERSON, LISA",DEM,MA,6,House,Massachusetts,Democrat,https://www.lisapeterson2020.com/
1188,H0MA06130,"MCQUILKEN, ANGUS",DEM,MA,6,House,Massachusetts,Democrat,https://www.angusforcongress.com/
1189,H4MA06090,"MOULTON, SETH",DEM,MA,6,House,Massachusetts,Democrat,http://www.sethmoulton.com/
1190,H0MA06148,"MORAN, JOHN PAUL",REP,MA,6,House,Massachusetts,Republican,https://johnpaulmoran.com/
1193,H8MA07032,"PRESSLEY, AYANNA",DEM,MA,7,House,Massachusetts,Democrat,http://www.ayannapressley.com/
1194,H8MA08071,"CAPUANO, MICHAEL E",DEM,MA,7,House,Massachusetts,Democrat,https://mikecapuano.com
1196,H0MA08045,"GOLDSTEIN, ROBBIE",DEM,MA,8,House,Massachusetts,Democrat,https://www.robbieforchange.com/
1197,H2MA09072,"LYNCH, STEPHEN",DEM,MA,8,House,Massachusetts,Democrat,http://www.stephenflynch.com/
1198,H6MA08141,"KENNEDY, JOSEPH P II",DEM,MA,8,House,Massachusetts,Democrat,https://www.kennedyforma.com/
1199,H8MA08170,"WU, BRIANNA",DEM,MA,8,House,Massachusetts,Democrat,https://briannawuforcongress.com/
1200,H8MA08188,"VOEHL, CHRISTOPHER L.",DEM,MA,8,House,Massachusetts,Democrat,https://www.electchristopher.com
1201,H0MA09068,"SYLVIA, MARK",DEM,MA,9,House,Massachusetts,Democrat,https://mikesylvia.org/
1202,H0MA10082,"KEATING, WILLIAM RICHARD",DEM,MA,9,House,Massachusetts,Democrat,http://www.keatingforcongress.com/
1203,H4MA09078,"CHAPMAN, JOHN C",REP,MA,9,House,Massachusetts,Republican,https://web.archive.org/web/2/https://www.johnchapman2014.com/media
1204,H4MA09086,"SHORES, DANIEL L",REP,MA,9,House,Massachusetts,Republican,http://www.danshores2014.com/
1205,H8MA09046,"TEDESCHI, PETER D. MR.",REP,MA,9,House,Massachusetts,Republican,https://tedeschiforcongress.com
1206,H8MD01177,"GALBRAITH, ALLISON",DEM,MD,1,House,Maryland,Democrat,https://www.flipthefirst.com/
1207,H8MD01193,"COLVIN, JESSE",DEM,MD,1,House,Maryland,Democrat,https://jessecolvin.com
1208,H0MD01216,"DELGADO, JORGE",REP,MD,1,House,Maryland,Republican,https://www.delgado4maryland.com/
1209,H8MD01094,"HARRIS, ANDREW P",REP,MD,1,House,Maryland,Republican,https://www.andyharris.com/
1211,H2MD02160,"RUPPERSBERGER, C. A. DUTCH",DEM,MD,2,House,Maryland,Democrat,https://www.dutchforcongress.com/
1212,H8MD02100,"PRETOT, JAKE",DEM,MD,2,House,Maryland,Democrat,https://jakepretot.vote/
1213,H0MD02149,"CARDARELLI, MARCELO GABRIEL",REP,MD,2,House,Maryland,Republican,https://jessegabriel.com/
1214,H0MD02214,"FAZENBAKER, TIMOTHY",REP,MD,2,House,Maryland,Republican,https://timfazenbaker.com/
1215,H0MD02222,"MORRIS, GENEVIEVE",REP,MD,2,House,Maryland,Republican,https://www.morrisforcongress.com/
1216,H0MD02230,"SALLING, JOHNNY RAY MR.",REP,MD,2,House,Maryland,Republican,http://www.sallingforcongress.com/
1217,H0MD02248,"SIMPSON, JIM",REP,MD,2,House,Maryland,Republican,https://www.jimsimpsonforcongress.com/
