,Unnamed: 0,name,text,count,class_simple,topics
927,927,COURTNEY JOSEPH D,"this grant funding is good news for our local fire departments that can use these federal funds to purchase lifesaving equipment for their firefighters, courtney said in a statement. our first responders put their lives on the line each and every day to protect our homes and our communities, and we need to make sure we are doing everything we can to provide them with the appropriate equipment to keep them safe.",72,2,economy 
929,929,COURTNEY JOSEPH D,"a college education is one of the most valuable investments a family can make, but rising costs have made it difficult to afford. joe knows how important it is to combat growing student loan debt to help students and middleclass families.",41,4,education
967,967,COURTNEY JOSEPH D,"kabul, afghanistan six female students from wartorn afghanistan who had hoped to participate in an international robotics competition in the united states this month will have to watch via video link after their visas were denied not once, but twice. the girls wanted to show the world that afghans can also construct a handmade",54,4,education
968,968,COURTNEY JOSEPH D,"in his first term, courtney secured seed money for eb to begin design work on new subs, and in 2011, electric boat will build a second submarine in a year for the first time since the 1980s. courtneys work on submarines has boosted businesses in groton and new london where eb is moving into the old pfizer research complex and means additional work and hiring as far away as enfield. for his work in increasing submarine production, courtney was named the legislator of the year by the international brotherhood of boilermakers, iron ship builders, blacksmiths, forgers and helpers.",98,2,economy 
978,978,COX TERRANCE JOHN (TJ),"november 4, 2020 today, as election results continue to roll in for the race in californias 21st congressional district, congressman tj cox released the following statement almost three years ago, i entered this race as an underdog. nobody thought i could win against an entrenched politician with a warchest stuffed full of corporate pac money. but we",57,3,election 
989,989,COX TERRANCE JOHN (TJ),"fresno will have 53 vote centers open the day of the election. you may vote at any of the locations if you are registered to vote in fresno county. you do not need to bring your mail ballot with you, although it is recommended to speed up the voting process. they will be open from 7am8pm on election day.",59,3,election 
992,992,COX TERRANCE JOHN (TJ),"tj advocates for expanding telehealth services, particularly for people living in rural communities far from hospitals or other treatment centers. he introduced legislation that would increase funding for these services in rural areas, which is now even more essential in the time of the coronavirus pandemic.",46,3,election 
1002,1002,COX TERRANCE JOHN (TJ),"as of november 1st, 2020 the only early voting polling location available is at the kern county election office 1115 truxtun ave. 1st floor, bakersfield ca, 933014639. for updates check ca secretary of states website or kern countys election information website.",41,3,election 
1008,1008,COX TERRANCE JOHN (TJ),"i am also very proud of the campaign we ran. we didnt engage in gutter politics. we took our message directly to the people, many of whom never knew they could have a voice in their government. i never forgot that i work for you. i want to thank my staff, 2,000 volunteers, and over 50,000 donors who believed in our campaign to put people first.",66,3,election 
1011,1011,COX TERRANCE JOHN (TJ),"to comply with campaign finance laws. we are required to disclose information regarding our contributions to comply with campaign finance laws. federal law requires us to use our best efforts to collect and report the name, mailing address, occupation and name of employer of individuals whose contributions aggregate in excess of 200 in an election cycle.",56,3,election 
1056,1056,DELAURO ROSA L,"rosa understands the difficulty that seniors and their families face in paying for necessary medical care. she was so proud to be able to vote for a comprehensive health reform package that does so much for seniors, including closing the donut hole in prescription drug coverage to ensure that seniors do not have to worry about affording essential medications.",59,0,social_policy
1060,1060,DELAURO ROSA L,"rosa believes strongly in women getting equal pay for equal work. achieving equal pay for women would increase wages for thousands of households and bring thousands of families out of poverty. in 2009, rosa introduced the paycheck fairness act in the house of representatives. the bill strengthens the laws against pay discrimination and closes loopholes through which employers can avoid liability for wage discrimination. rosa will continue to fight for pay equity, as she has for her entire career in congress.",81,0,social_policy
1065,1065,DELAURO ROSA L,"rosa continues to fight to create good jobs for connecticut now and well into the future. her jobs plan aims to create jobs by supporting small business, innovative research and education while also preserving existing jobs and preventing unjust barriers for employment. rosas jobs plan will also build the foundations for longterm growth by rebuilding our infrastructure and reviving the manufacturing sector and help working families to ensure they get the pay and benefits they deserve.",76,1,occupation
1066,1066,DELAURO ROSA L,"people face impossible health care and drug costs. my healthcare plan offers universal healthcare for all and allows anybody losing their employer health insurance to enroll in an improved medicare, without deductibles. it achieves universal coverage while allowing people to keep their private insurance.",44,5,healthcare
1074,1074,DELAURO ROSA L,"rosa has fought to increase funding for head start, the most effective early childhood development program ever developed. head start has provided comprehensive development, literacy, and family services to more than 20 million preschoolers from working families. she has also worked to promote an early learning focus in the race to the top program and has established the bipartisan congressional baby caucus to focus public policy on the healthy development of infants and toddlers.",74,2,economy 
1075,1075,DELAURO ROSA L,"rosa has long been an advocate for improved consumer safety. as chair of the house appropriations committee, and the ranking member on the subcommittee that deals with these issues, rosa has made enormous progress in improving food and drug safety and the safety of consumer products. in addition, she has worked to protect connecticut consumers from the dangerous practices of banks and mortgage lenders in todays economy.",67,3,election 
1085,1085,DELAURO ROSA L,"being a woman is no longer a preexisting condition. rosa fought passionately to provide for the health needs of women in this health care reform, and all american women will gain from this fight. no longer are insurance companies allowed to treat having had a child or a csection, or being the victim of domestic violence, as a preexisting condition, nor can they continue to charge individual women up to 50 percent more for the same coverage",77,0,social_policy
1087,1087,DELAURO ROSA L,"climate change is an existential crisis and that is why i am an original cosponsor of the green new deal. i embrace bidens bold plan to invest in new technology, to drive down the cost of renewable energy and create millions of green jobs.",44,10,environment
1091,1091,DELAURO ROSA L,"it is our duty to provide for the military families who have sacrificed so much to protect us. and rosa has helped to secure a landmark expansion of educational benefits for veterans, providing benefits to cover the cost of a fouryear education, along with a stipend for housing, books and other expenses.",52,6,security_policy
1106,1106,DELAURO ROSA L,"american women have made great strides since the first womens rights convention in 1848. today, women are central to americas workforce, in business small and large, in public service, and in our homes. that is why rosa has developed when women succeed, america succeeds an economic agenda for women families. rosa also believes that we must work to increase womens access to employment in the changing economy. she has sponsored legislation that would provide training and support to workers who support families, so that they may obtain hightech jobs and participate in the new economy.",95,0,social_policy
1111,1111,DELGADO ANTONIO,"born and raised in schenectady, antonio is a native of upstate new york. his parents worked for general electric and benefited from a better regional economy. they worked hard to pursue the american dream of building a better future for antonio and his little brother. antonio attended colgate university, in hamilton, new york, where he graduated with high honors and earned a rhodes scholarship to oxford. from there, he went to law school at harvard, which is where he met his wife lacey, a native of woodstock and kingston.",89,5,healthcare
1112,1112,DELGADO ANTONIO,"the men and women who serve our country, along with their families, have made immense sacrifices for our safety and national security. its not enough to ensure that our service members are well trained and equipped while they are actively serving. our commitment to the soldiers, sailors, airmen, marines, and coast guard members who support and defend the united states around the world every day must extend to taking care of them once they return home.",76,0,social_policy
1120,1120,DELGADO ANTONIO,"the values antonio learned growing up hard work, discipline, service and character helped him get a great education, allowed him the opportunity to start his own company, empowering young people to learn through music, and then begin a second career, as an attorney fighting for whats fair and just.",49,2,economy 
1125,1125,DELGADO ANTONIO,"working people pay enough taxes. americas tax policies should put working families and the middle class first, not the superrich and large corporations. i vehemently oppose the recent republican tax cuts that benefit the wealthiest among us, and any other policy that funnels tax dollars from the middle class to billionaires and contributes to an already exploding federal debt.",59,1,occupation
1130,1130,DELGADO ANTONIO,i support womens rights to make their own health care decisions. i will continue fighting to defend womens rights from an assault by the president and elected officials who ignore womens right to reproductive care. i also strongly support opposing any use of taxpayer money for settlements in sexual harassment suits.,51,0,social_policy
1132,1132,DELGADO ANTONIO,"the farmers in our district have been forced to endure the detrimental impacts of bad trade policies and an unfair farm bill. our district is home to more than 5,000 farms and over 8,000 farm operators. almost 20 of the land that makes up new yorks 19th is dedicated to farmland. we need to work together to protect our small and medium sized farms and the farming industry.",68,1,occupation
1134,1134,DELGADO ANTONIO,"i understand that access to healthcare means nothing if no one can actually afford to pay for it, and that our small businesses have struggled to meet the health insurance needs of their employees. we need to achieve universal coverage as fast as possible. thats why i introduced medicare x, a bill that creates a public option, giving everyone the choice to opt into medicare.",65,5,healthcare
1135,1135,DELGADO ANTONIO,"i believe that we are a nation of immigrants, and that our region can benefit from a sensible and compassionate immigration policy. i will fight for immigration policies that reflect the character and decency of the people of upstate new york this means passing a clean dream act and achieving bipartisan legislation that fixes our broken immigration system.",58,9,immigration
1137,1137,DISANTO DELINA,"in addition, delina worked as a finance director in several hospitals. as a finance director, she saw the financial burden that healthcare costs cause to families, saw it tear families apart and even witnessed people die due to cancer when they couldnt afford treatments. she is a registered nurse, graduating from asu cum laude. her passion is healthcare and believes that it is a right, not a privilege. when it comes to making decisions, she keeps this in mind advocating for what people need and deserve.",86,2,economy 
1141,1141,DODDS PHILIP BENJAMIN,"after graduating from business school, brian wanted to return to the neighborhood that gave his family a start in life over 40 years ago. it was harlem hospital that opened its doors to his pregnant mother without health insurance years ago, and while its a coincidence that brian can see that same hospital from his office window in harlem, it is purposeful that brian looks to give back to new york as much as it has given to him.",79,4,education
1145,1145,EARLY ERIC,"a nation that cannot control its borders is not a nation, said president ronald reagan. i could not agree more. i am the child of two legal immigrants to america. i like every conservative i know, strongly supports legal immigration. however, because of our porous borders, illegal immigration has been allowed to continue largely unabated. my opponent never opens his mouth about the subject and never takes to task those in his party who openly support open borders. thus, he at a minimum, tacitly supports the same open borders. tremendous strains have been placed on our nations resources and our society and the unabated flood of illegal immigration is a smack in the face of the hundreds of thousands of our citizensinwaiting, who have sacrificed and gone to great lengths to become americans the legal way. we must fix our broken immigration system, but any fix must begin with securing our borders.",152,9,immigration
1151,1151,EARLY ERIC,"adam schiffs endless witchhunts against our president are reprehensible. schiff continually abuses his power, politicizes classified information and misleads the american people, harming our great nation at home and abroad in the process. it has got to stop. my name is eric early i have led a successful life out of politics, have a great family and love our country. i am sick and tired of being lied to by career politician schiff as he tries to wipe out the votes of 63 million americans, interferes with the upcoming presidential election and works to replace our democracy with socialism. please donate now.",102,3,election 
1156,1156,EARLY ERIC,"our districts and our nations infrastructure is beginning to crumble. roads, bridges, highways, waterways, the electrical grid, dams, etc., etc. need major overhaul and repairs. we can no longer sit back and keep our fingers crossed that these major arteries of our nation wont collapse.",45,12,infra_transpo
1169,1169,EDDINGS WAYMEN,"after many years as a community advocate for local issues and exposure to our community leaders, waymen is an active government appointee, political activist, and candidate for public office. most recently, in the final months of the bevin administration, former ky justice and public safety cabinet secretary tilley appointed him as a special assistant to the department for juvenile justice. in this role, waymen was charged with urban outreach and communication, as well as, authoring a mentorship approach called ten4. notably, this period coincided with the controversial countytostate surrender of youth detention responsibilities.",93,3,election 
1177,1177,ELLISON ALLEN,"in this campaign to become floridas newest voice in washington, i want you to know that i am the strongest candidate on climate change, the only candidate with a comprehensive platform centered on improving the quality of life for all american citizens, and the only candidate who has demonstrated",49,3,election 
1188,1188,ELLISON ALLEN L,"in this campaign to become floridas newest voice in washington, i want you to know that i am the strongest candidate on climate change, the only candidate with a comprehensive platform centered on improving the quality of life for all american citizens, and the only candidate who has demonstrated a strong desire to secure the future for americans living with disabilities.",61,3,election 
1211,1211,ESTES RON,"it was not long ago that we had a booming economy, wages were rising, and unemployment rates for all americans were at historic lows. thanks to the tax cuts and jobs act, deregulation, and progrowth policies from republicans and president trump, the american economy was the envy of the world. more importantly, so many americans",55,2,economy 
1215,1215,FANDL JEFF,"how good is that strong economy when healthcare has gotten so outrageously expensive that people cannot even afford the premiums, no less thinking about paying for a deductible or copays should you experience a medical problem. think about small business owners that cannot provide health insurance for themselves or their employees because its beyond affordable. this just cannot continue.",59,2,economy 
1219,1219,FANDL JEFF,"having a strong economy is only part of the equation when you dont have a strong support system for the working class. jeff fandl has plans to change that. think about this what could happen to you during the next economic downturn, job change, family illness or other unplanned life event? most people arent prepared for such a drastic change and one things for sure, the government does not have a safety net for you. covid19 has finally hit us and proven the lack of a social safety net has financial ruined millions and will never recover the same.",99,2,economy 
1220,1220,FANDL JEFF,"when i send my son off to school in the morning, i expect to see him when i come home at night in one piece, not full of bullet holes. when he goes to the movies with his friends, he should not have to dodge bullets flying in a theater or in the mall. i dont want to read on the news that another 18 year old with emotional issues legally bought a high powered rifle 21 in florida now without a background check and shot into groups of people killing them, again. weve got a huge gun problem in our country and we need to do a lot more to solve this. find out more on my agenda page",120,4,education
1221,1221,FANDL JEFF,"i think access to affordable healthcare as one of the most basic responsibilities for our government to provide to all citizens. my bold plan is a hybrid singlepayer model that will provide routine doctor visits and well care at no cost within 12 months and lay the framework for a single payer model in just 4 years. i dont believe that if you start your own business, youre a 1099 contract worker or you become unemployed that you should ever have to worry about having the same access to affordable healthcare. whether you work for a large corporation or a mom and pop shop, your healthcare should cost the same. healthcare should be affordable without huge deductibles or excessive costs that force you into financial ruin or bankruptcy. your job and your health insurance plan will no longer be dependent on one another.",143,5,healthcare
1232,1232,FIELDS ZACK,"against all odds, more than 200 tribes of alaska natives have survived a multicentury campaign of cultural genocide waged first by the russian, and then by the u.s. governments. from enslavement to kidnapping to sexual abuse to language annihilation, alaska natives have confronted and survived horrors without equal on this continent. governments today have an obligation to acknowledge this history and do everything possible to atone for the sins of previous elected officials and administrations. beyond that, it is in all of our interestswhether we have indigenous ancestry or notto preserve and celebrate the languages and cultures that make alaska such a rich place to live.",106,3,election 
1233,1233,FIELDS ZACK,"i am honored by the anchorage central labor councils support in this campaign, and the support of many union locals. alaska has been a prolabor state since adoption of our constitution, and we should build on that legacy. in addition to adhering to long standing policies like prevailing wage laws, the state must act aggressively to restore economic security for working families whose livelihood has become more perilous as a result of gig employment, outsourcing, and other aspects of what economists call the fissured economy. as a start, the legislature should establish the equivalent of unemployment and retirement benefits for independent contractors. since farright ideologues on the u.s. supreme court are attempting to gut public employee unions with the",119,1,occupation
1237,1237,FIELDS ZACK,"i am honored by the anchorage central labor councils support in this campaign, and the support of many union locals. alaska has been a prolabor state since adoption of our constitution, and we should build on that legacy. in addition to adhering to long standing policies like prevailing wage laws, the state must act aggressively to restore economic security for working families whose livelihood has become more perilous as a result of gig employment, outsourcing, and other aspects of what economists call the fissured economy. as a start, the legislature should establish the equivalent of unemployment and retirement benefits for independent contractors. since farright ideologues on the u.s. supreme court are attempting to gut public employee unions with the janus decision, the state should examine all options to sustain public employee unions that have always helped maintain our infrastructure and run state government.",143,1,occupation
1245,1245,FIGLESTHALER WILLIAM MATTHEW MD,"i am a doctor, not a politician, and the sickest thing on earth is the federal government. career politicians have committed legislative malpractice through reckless spending and have burdened our children with insurmountable debt and nanny state government. its time to limit the scope of government, shrink our debt, and return power to the citizens.",55,3,election 
1247,1247,FIGLESTHALER WILLIAM MATTHEW MD,tourism is the livelihood and backbone of our southwest florida economy. i will stand up to special interest who are destroying our waterfront sanctuaries. i will work with the private sector to continue the development of innovative solutions to protect our environment.,42,12,infra_transpo
1248,1248,FIGLESTHALER WILLIAM MATTHEW MD,"career politicians on both sides of the aisle have driven our nations finances into a monumental pit of debt. undoubtedly, the single greatest threat to our security and future, i will run at our problems head on. i will make the difficult, but necessary decisions to get our country back on track.",52,3,election 
1261,1261,FRICKE BRANDON,"enough with career politicians. holding elected office was never meant to be a career, it was meant to be a service to the constituents of your district. i promise to not serve more than three terms in the u.s. house of representatives, and i will hold a minimum of 24 in person town halls across the district per year. californias 33rd district deserves a representative who understands the problems facing all constituents, not just the donor class. i will be invested and accountable to provide true solutions to our districts problems. i will judge myself by the results of my policies, not the amount of money spent.",107,3,election 
1266,1266,FRICKE BRANDON,"out of high school, brandon attended grossmont community college in el cajon, where he played football and eventually earned a full scholarship as a quarterback to central michigan university. there, he majored in sports management, setting him on the path to become an nfl agent.",45,4,education
1270,1270,FRICKE BRANDON,"enough with career politicians. holding elected office was never meant to be a career, it was meant to be a service to the constituents of your district. i promise to not serve more than three terms in the u.s. house of representatives. learn more",44,3,election 
1271,1271,FULCHER RUSSELL,"im an international businessman and former state senator with a strong record of elevating the interests of idaho families over those of government. i grew up on a dairy farm in meridian, and i spent 20 years travelling the globe for the idaho tech industry. i know what works, and what doesnt and i will fight to ensure the government fills its proper constitutional role!",65,8,foreign_policy
1283,1283,GALVIN ALYSE,"healthcare costs are out of control, but congressman don young doesnt get it. while racking up over 300 thousand from the healthcare industry, he repeatedly tried to take health coverage away from thousands of alaskan families by voting for an insurance industry bill that increased premiums and failed to reduce prescription drug prices. he mockingly referred to coronavirus as the beer virus and put alaska seniors at risk by participating in large gatherings with no safety precautions.",77,5,healthcare
1284,1284,GALVIN ALYSE,"we are now in a climate crisis we are beyond climate change. alaska is ground zero for the negative effects of this climate crisis. were experiencing temperatures rising at twice the rate of the rest of the country, acidification of our waters and its consequences for our fisheries, rising costs of energy in rural alaska, and whole communities needing to be uprooted because theyre sinking into the ground. these effects threaten the daily life of communities across our state, but our current representative refuses to come home, look around and see these facts.",93,10,environment
1287,1287,GALVIN ALYSE,"our healthcare system is broken it doesnt cover enough, its hard for alaskans to find doctors, and its too expensive for too many people. these costs are also standing in the way of economic growth. too many small companies are unable to expand their businesses. employers are seeing labor costs explode, while wages remain stagnant. americas healthcare dollars should be going to patient care, not big pharma and special interests.",70,5,healthcare
1290,1290,GALVIN ALYSE,"sean recently graduated from nyu law school. his commitment to public service has been with him from a young age; he and his band the asteroids won an alaska spirit of youth award for their work providing live music for nonprofit events in and around anchorage. in college, sean volunteered at a nonprofit environmental law firm in portland, and worked as campaign manager for promising state house candidate pete lafrance in palmer. sean continued to work for the public interest in law school, serving as a legal intern for the new york state department of financial services financial fraud and consumer protection division and for the new york attorney generals labor bureau. sean is now an attorney at goodwin procter llp in new york.",124,4,education
1291,1291,GALVIN ALYSE,"federal investment in infrastructure for our alaska native communities is key. we can lower energy costs through development of lowcost, local energy sources and improving energy efficiency. we also need more investment in broadband internet, so that all of alaska can participate in the digital economy.",46,12,infra_transpo
1294,1294,GALVIN ALYSE,"we have already lost 39,000 alaskan jobs due to the pandemic and our small businesses are closing right and left. even before the pandemic, we had the highest unemployment in the nation and we ranked 49th out of 50 states for job growth.",43,1,occupation
1296,1296,GALVIN ALYSE,"oneinthree alaska villages have no local police. more than 70 alaska communities places with some of the highest rates of sexual assault in the u.s. have no local police protection. that means, unlike most anywhere else in the united states, emergency help is hours or even days away. this is wrong. we need a fighter in washington getting alaskans the support we need.",63,7,domestic_policy
1298,1298,GALVIN ALYSE,"the covid health crisis brought to light what many of us already know the economy isnt working for far too many alaskans. many families are struggling to pay their bills, workers cannot find good jobs, and there are deep concerns about the future of our states economy. the situation is similarly dire across our entire country.",56,13,public_health
1299,1299,GALVIN ALYSE,"the covid health crisis brought to light what many of us already know the economy isnt working for far too many alaskans. many families are struggling to pay their bills, workers cannot find good jobs, and there are deep concerns about the future of our states economy.",47,13,public_health
1304,1304,GALVIN ALYSE,"the healthcare system has gotten too complicated. it is bureaucratic and cumbersome, just like the federal government. comprehensive healthcare must include coverage for illness and injury and also coverage for preventative care, maternal and reproductive care, mental health, vision, and dental. and it needs to be easy to navigate.",49,5,healthcare
1317,1317,GALVIN ALYSE,"one in three alaska villages have no local police. our state troopers and village public safety officers are understaffed and underfunded. more than 70 alaska communities places with some of the highest rates of sexual assault in the u.s. have no local police protection. that means, unlike most anywhere else in the united states, emergency help is hours or even days away.",62,7,domestic_policy
1334,1334,GALVIN ALYSE,"oneinthree alaska villages have no local police. our state troopers and village public safety officers are understaffed and underfunded. more than 70 alaska communities places with some of the highest rates of sexual assault in the u.s. have no local police protection. that means, unlike most anywhere else in the united states, emergency help is hours or even days away",60,7,domestic_policy
1348,1348,GALVIN ALYSE,"we should be enhancing the funding for climate change research, not casting doubt on it. uaf is one of the most cited research institutions in the world on climate change, and we should be steering more research dollars into our universities.",41,2,economy 
1351,1351,GALVIN ALYSE,"we must ensure that women have full, unlimited access to reproductive health services. i believe that the issue of abortion is a private matter between a woman, her doctor, and her faith. womens reproductive health starts with access and education. i will fight to make sure that contraception is available to all and covered by insurance.",56,0,social_policy
1376,1376,GARAMENDI JOHN,"transportation as a member of the house transportation and infrastructure committee and as the ranking member of its subcommittee on the coast guard and maritime transportation, garamendi is using his role to improve infrastructure in our region. congressman garamendi is a firm believer in investments in transportation infrastructure, creating good jobs for our neighbors and leaving lasting improvements that will help businesses throughout northern california. we only get 92 cents back for every gas tax dollar we send to washington, and garamendi is fighting for a fairer share. read more",90,12,infra_transpo
1377,1377,GARAMENDI JOHN,"as confirmed by the national park service, which administers the national heritage area grant program, designations do not impact individual property or water rights in any way nor do they restrict local land use decisions, landownership, or hunting and fishing within the designated heritage area.",45,12,infra_transpo
1379,1379,GARAMENDI JOHN,"garamendi sits on the house transportation infrastructure committee as a senior member, working to ensure needed transportation and infrastructure investments to create american jobs and enhance domestic manufacturing. as a member of the water resources development act wrda conference committee, garamendi is part of a bipartisan bicameral delegation responsible for shaping the nations water infrastructure policies. working across the aisle with republican lawmakers, garamendi has helped secure levee funding for our region at the shanghai bend on the feather river, the marysville ring levee, and the j levee in hamilton city.",91,12,infra_transpo
1381,1381,GARAMENDI JOHN,"america should be the worlds advocate in promoting human rights throughout the world. american benevolence can have a profound impact in regions of the world suffering from starvation and disease. we know that extremism and violence thrive in the poorest regions of the world, so this is really a national security issue too. as a proud alumnus of the peace corps, garamendi supports its continued presence and expansion throughout the world, and we must work with the international community to promote fair trade and a sustainable global economy.",88,3,election 
1389,1389,GARAMENDI JOHN,"as a member of the house transportation and infrastructure committee and as the ranking member of its subcommittee on the coast guard and maritime transportation, garamendi is using his role to improve infrastructure in our region. congressman garamendi is a firm believer in investments in transportation infrastructure, creating good jobs for our neighbors and leaving lasting improvements that will help businesses throughout northern california. we only get 92 cents back for every gas tax dollar we send to washington, and garamendi is fighting for a fairer share.",87,12,infra_transpo
1392,1392,GARAMENDI JOHN,"promoting policies that create jobs in northern california, garamendi has become the leading advocate for the make it in america program to strengthen manufacturing. he is the author of four make it in america bills that require that our tax money be spent on americanmade equipment and jobs. his goal is to create a pathway to the middle class for thousands of hardworking americans. garamendi regularly hosts local job fairs to bring employers and job seekers together.",77,1,occupation
1396,1396,GARAMENDI JOHN,"health care under the affordable care act, we have seen americas uninsured rate fall to the lowest levels in u.s. history. millions of americans now have access to quality health care. seniors now have access to a free annual wellness check up to identify health problems early, and the medicare part d prescription drug donut hole will completely close by 2020, helping seniors afford life saving medications. read more",69,5,healthcare
1407,1407,GARAMENDI JOHN,"garamendi secures critical funding to reopen schools, distribute vaccines, support testing programs, extend unemployment benefits, and send 1,400 stimulus checks to americans march 2, 2021 washington, dctoday, congressman john garamendi dca03 voted to pass the american rescue plan h.r. 1391, which passed the u.s. house of representatives by a vote of 219212. read more",54,2,economy 
1412,1412,GARAMENDI JOHN,"when the u.s. supreme court gutted the voting rights act in 2014, garamendi immediately called on congress to restore it. garamendi is deeply disturbed by some efforts across the country to suppress voter turnout minority, lower income, and student communities. policies that deeply concern garamendi include",46,7,domestic_policy
1421,1421,GARAMENDI JOHN,"military affairs and foreign relations ever since congressman garamendi and his wife patti embarked on a journey that would forever shape their lives they two years they fought smallpox in rural ethiopia as volunteers in the peace corps garamendis perspective on foreign policy has been shaped by three primary principles. americas moral authority as the worlds leader of free nations rests on a devotion to human rights and individual liberty for all citizens of all nations. diplomacy should always be our first mission in international relations, and ultimately, is almost always the best way to resolve conflicts abroad. a strong and smart military is an essential safeguard for national security and an effective deterrent against those who would consider acts of aggression against peaceful nations and innocent people. read more",130,6,security_policy
1422,1422,GARAMENDI JOHN,"we must invest in education and job training for all californians, and that includes our young men and women returning to civilian life from the armed forces. thats why congressman garamendi is working on reforming policies that force many veterans to seek duplicative and expensive civilian credentials for work they did while in the air force. often, skills directly transfer, such as engine maintenance on an aircraft carrier, driving a truck, or serving as an emergency medical technician.",78,4,education
1427,1427,GARAMENDI JOHN,"unfortunately, two massive concrete tunnels are being proposed to divert the precious delta water supply down south. this plan wouldnt create a drop of new water for the state, would undermine senior water rights, would imperil the delta, and would be a bad investment for the state. instead, these tunnels would siphon water from the delta at a rate of 15,000 cubic feet per seconda rate that would suck all of the water that runs through the delta six months out of the year.",84,12,infra_transpo
1429,1429,GARAMENDI JOHN,"jobs congressman john garamendi is focused on growing the middle class. he is the leading voice in congress for make it in america policies that will help bring manufacturing jobs back to america. in congress, he has successfully increased the buy america requirement for buses and rail from 60 to 70 stopped school districts from procuring canned foods from china when local produce is available ensured a fiveyear extension of the wind production tax credit and solar investment tax credit in order to incentivize the wind and solar manufacturing sectors to continue manufacturing in america. read more",97,1,occupation
1444,1444,GARAMENDI JOHN,"stop the tunnels, save the delta. garamendi is especially concerned about the health of the sacramentosan joaquin delta. farmers, fishermen, and communities depend on a healthy delta, and the 15 billion twin tunnels boondoggle would be capable of draining the delta dry six months a year. garamendi helped lead the fight against the peripheral canal in 1982, and hes leading the fight against the twin tunnels today.",67,12,infra_transpo
1445,1445,GARAMENDI JOHN,"ms. garamendi and her husband were just as profoundly impacted by the experience, dedicating their lives to service from that moment forward. as a couple, they lived the collaborative spirit they had instilled in their pupils, and when john was elected to the state legislature in 1974, patti was active in analyzing, debating, and advocating for the issues at hand. her passion for promoting economic development in california and throughout the united states never lost its global reacha reality most notably underscored when she returned to ethiopia in 1984 to help famine victims, and again in 1988 when she worked as part of the disaster team sent to honduras after a hurricane devastated the country. through these and similar efforts, she has always aimed to put americas best face forward while demonstrating the humanity that transcends geographic and cultural differences.",140,3,election 
1446,1446,GARAMENDI JOHN,"congressman garamendis student loan refinancing and recalculating act would lower student loan interest rates for all borrowers and save students and parents money. it would lower the current interest rate of 4.29 for undergraduate borrowers, 5.84 for graduate borrowers, and 6.84 for parent and graduate plus loan borrowers to 3.23 for all borrowers. support is growing for this important legislation, with endorsements from the california state student association, california democratic party, and california young democrats.",75,4,education
1447,1447,GARAMENDI JOHN,"congestion on roads and railways plagues communities throughout northern california, delaying commuters, wasting time and fuel, and adding to air and atmospheric pollution. congressman garamendi is a firm believer in investments in transportation infrastructure, creating good jobs for our neighbors and leaving lasting improvements that will help businesses throughout northern california. we only get 92 cents back for every gas tax dollar we send to washington, and garamendi is fighting for a fairer share.",74,12,infra_transpo
1459,1459,GARDNER KIANI A,"let me be clear climate change is real. and, its affecting our coastal areas in a particularly devastating way. we are losing homes, wetlands, and businesses. we must also recognize that a major strength of our economy is our beautiful environment. protecting our waterways and removing coal ash preserves our fishing and tourism economy. protecting our lands allows for the continued responsible development of residential and commercial properties. protecting our unique flora and fauna maintains the quality of life that makes al01 an idyllic oasis. alabama is a magical place to call home i dare defend it!",97,10,environment
1472,1472,GARLINGTON WILLIAM,"when we cut off the funding to these current healthcare providers we as americans will receive funded affordable individual reliable healthcare known as fair healthcare, from competent providers who care about americans as they provide quality healthcare, instead of sticking it to americans based upon greed",46,2,economy 
1475,1475,GARLINGTON WILLIAM,"1980, is a money pit of waste inside the federal government. it has over 4,000 governmental workers and a 130 billion dollar budget. its time to reduce federal programs and the department of education would be a great first step in trimming the federal fat.",45,2,economy 
1480,1480,GARLINGTON WILLIAM,"privatizing these schools would operate as a private business. pay educators based upon experience but also the merit of excellence. inside these private schools the fundamentals of education like standard civics, grammar, english, mathematics, and sciences would be required. this standard formula would be supported by and set forth through a collective body of educators where all us territories and us states would have to adhere to regarding the basics of american education.",73,4,education
1492,1492,GARLINGTON WILLIAM,"the department of education established on may 4th, 1980, is a money pit of waste inside the federal government. it has over 4,000 governmental workers and a 130 billion dollar budget. its time to reduce federal programs and the department of education would be a great first step in trimming the federal fat.",53,4,education
1504,1504,GARLINGTON WILLIAM,"public schools phased out. with every plan, we must have a comprehensive approach of application. with public governmental schools, the approach would be called the phase out program. we would pass bipartisan law to remove the nea from the federal program down to the us states, where the states would phase out all federal funded public schools. this phaseout program according to the us state would begin adopting the fundamental basics. then each us state and us territory would implement by turning those public schools into private schools, charter schools, and home schools until all public schools are phased out. while a school is still under the public banner, the state, the county, the city, and the municipality would impose a tax upon american taxpayers where they reside, to help fund these public schools up until these schools become charter or private schools. this public phase out program would apply to grades 112, elementary, middle school and high schools.",159,4,education
1509,1509,GARLINGTON WILLIAM,"the popular vote count in presidential elections did not begin until the1824 election; however, the popular vote has never determined a presidential election. because the first time a president won the presidency with fewer popular votes was in the 2016 presidential election.",42,3,election 
1510,1510,GARLINGTON WILLIAM,"if you elect stephanie murphy youre electing nancy pelosi, bernie sanders, joe biden, aoc and her gang. they will decide what type of patient is seen by a physician. older folks will be pushed aside and left to die in the streets, while future generations will have to work as slaves just to pay for their own healthcare until they are old and discarded.",64,5,healthcare
