,extra_id,name,text,count,paraphrase,class_simple,topics
257,257,AHN ROBERT LEE,"robert lee ahn understands that climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce american oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",66,"Climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",10,environment
258,258,AHN ROBERT LEE,"robert lee ahn understands that climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce american oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",66,"On the day of the meeting, robert lee ahn will introduce the Clean Energy Agenda for the future of the United States. On day one, robert lee ahn will urge congress to invest in clean energy infrastructure and innovation.",10,environment
259,259,AHN ROBERT LEE,"robert lee ahn understands that climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce american oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",66,"Climate change is an urgent threat to our economy and our childrens future. robert lee ahn will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the United States on a path to reduce oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",10,environment
273,273,AHN ROBERT LEE,"as a former republican he switched his affiliation in 2012 and more centrist politician, ahn has collected testimonials from members of both parties. former l.a. mayor richard riordan, a republican, announced his support at the end of may, and former california gop chairman shawn steel has backed ahn as well.",50,"Authentically a centrist politician, ahn has collected testimonials from members of both parties. Former l.a. mayor richard riordan, a republican, announced his support at the end of may, and former california gop chairman shawn steel has backed ahn as well.",3,election 
278,278,AHN ROBERT LEE,"as a former republican he switched his affiliation in 2012 and more centrist politician, ahn has collected testimonials from members of both parties. former l.a. mayor richard riordan, a republican, announced his support at the end of may, and former california gop chairman shawn steel has backed ahn as well.",50,"As a former republican and centrist politician, ahn has collected testimonials from members of both parties. former l.a. mayor richard riordan, a republican, announced his support at the end of may, and former california gop chairman shawn steel has backed ahn as well.",3,election 
280,280,AHN ROBERT LEE,"in 2017 there were original 23 contenders on the ballot to fill californias 34th district seat in the house. the race eventually was whittled down to two democrats jimmy gomez and robert lee ahn. head to a runoff next tuesday june 6, after neither of them drew the required 50 percent of the vote for an outright win in the crowded april primary. and while one has the edge when it comes to funds raised, the other is the clear winner among outside spending groups.",85,"july 29, 2017 In the latest race of the House Democrats, the incumbent republican jimmy gomez and robert lee ahn will face a runoff next weekend with Republican Rep. Ron Wyden trumped the race down to 421 people in the race. gomez will have earned over $50 million over the last 6 years with an outright win in the primary, but gomez may not have won the last 4 years. And while one winner is the clear winner among outside spending groups",0,social_policy
281,281,AHN ROBERT LEE,"in 2017 there were original 23 contenders on the ballot to fill californias 34th district seat in the house. the race eventually was whittled down to two democrats jimmy gomez and robert lee ahn. head to a runoff next tuesday june 6, after neither of them drew the required 50 percent of the vote for an outright win in the crowded april primary. and while one has the edge when it comes to funds raised, the other is the clear winner among outside spending groups.",85,"Both campaigns will run in a runoff next month. They both got the required 50 percent of the vote to make an outright win in the crowded 2016 general election. they are split on the best candidate: a democratic contender: jimmy gomez. They don't compete with outside spending groups, they can run with different candidates at every runoff. They were all Democrat candidates in an election but they lost the races.",3,election 
304,304,AHN ROBERT LEE,"robert lee ahn believes every child deserves a quality education. robert will fight to ensure that our most vulnerable and atrisk children have tools to thrive in todays economy and skills to compete in tomorrows economy. robert understands that for our children to have any chance of competing in a complex and rapidly changing global economy, a college education must be affordable.",62,"Why does our student, our daughter, our nation, deserve college?",4,education
306,306,AHN ROBERT LEE,"robert lee ahn believes every child deserves a quality education. robert will fight to ensure that our most vulnerable and atrisk children have tools to thrive in todays economy and skills to compete in tomorrows economy. robert understands that for our children to have any chance of competing in a complex and rapidly changing global economy, a college education must be affordable.",62,Why should children have college education?,4,education
310,310,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"After graduate school, Roberts was interested in youth soccer and sports baseball. He took competitive swimming and jujitsu classes and excelled in the youth basketball program. he was part of a club that organized the annual summer camp for people who could benefit from little league baseball and art camp programs. He has a diploma in sports.",4,education
311,311,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"R. Roberts was a regular at the Westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program. his education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the Westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",4,education
312,312,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"roberts were greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",4,education
313,313,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program. he had a significant impact on numerous programs including the big league baseball program and the elementary game.",4,education
314,314,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"In spite of the lack of money for children programs in his neighborhood, roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the Westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",2,economy 
315,315,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"His education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",4,education
316,316,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"When roberts was at Westside YMCA, taking competitive swimming and jujitsu classes and excelling in the youth basketball program, his experiences were greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth",4,education
317,317,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"With the addition of a lot of sport activities, his education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program. he enjoyed being a member of a team in all aspects of his life, but he had a hard time controlling his emotions and stepping out of his comfort zone.",4,education
318,318,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the Westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",4,education
319,319,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,"roberts learning was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",4,education
330,330,AHN ROBERT LEE,"ahn has spent almost twice as much as gomez on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. ahn also used potholders as campaign advertisements, spending about 148,000 to send them out to voters. much of the super pac activity has centered on mail, too, as well as phone banks and in some cases online ads. one thing thats been almost entirely missing tv ads. the candidates and groups avoided investing in the costly l.a. tv market in favor of other means of attracting voters.",133,"ahn’s campaign spending almost twice as much as gomez on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. ahn also used potholders as campaign advertisements, spending about 148,000 to send",2,economy 
332,332,AHN ROBERT LEE,"ahn has spent almost twice as much as gomez on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. ahn also used potholders as campaign advertisements, spending about 148,000 to send them out to voters. much of the super pac activity has centered on mail, too, as well as phone banks and in some cases online ads. one thing thats been almost entirely missing tv ads. the candidates and groups avoided investing in the costly l.a. tv market in favor of other means of attracting voters.",133,"How does ahn spend 500,000 on mailers and postage as gomez spent almost twice as much on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. all of the mail spent about 151,000 to send them",2,economy 
336,336,AHN ROBERT LEE,"ahn has spent almost twice as much as gomez on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. ahn also used potholders as campaign advertisements, spending about 148,000 to send them out to voters. much of the super pac activity has centered on mail, too, as well as phone banks and in some cases online ads. one thing thats been almost entirely missing tv ads. the candidates and groups avoided investing in the costly l.a. tv market in favor of other means of attracting voters.",133,"ahn campaign have spent nearly twice as much as gomez campaign spending $500,000 a year, according to fec data. Some of the mail appeared to have information on new polling places in the area, but only to have advertisements for ahn inside. much of the super pac activity has centered on mail, too, as well as phone banks and online ads. one thing thats been almost entirely missing television ads. the candidates and groups avoided investing in the costly l.a. tv market",3,election 
350,350,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"On the strength of his campaign, gomez and obama have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent huge amounts on billboards, newspaper ads and phone banks.",3,election 
351,351,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"As of june 2, gomez had reported spending about 250,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboard ads, newspaper ads and phone banks. I don’t know which candidate would do it, but will probably have the opportunity to get his own data first on june 2 on june 2 and gomez just won with 22% of the primary cash.",2,economy 
353,353,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent significant amounts on billboards, newspaper ads and phone banks.",2,economy 
354,354,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to federal data. he has also spent sizable amounts on newspaper ads, billboards, phone banks, among other things.",2,economy 
355,355,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"Why do gomez and co-chairs spend money on postal mail, billboards and newspapers to send their messages out?",2,economy 
356,356,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"As of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",2,economy 
357,357,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54,"Why did gomez spend 251,000 on mailers when he had more than 245,000 in mailers after completing his campaign?",2,economy 
364,364,AHN ROBERT LEE,it is our solemn duty to ensure those who have sacrificed for us receive the benefits and care they have earned. we owe a debt that must be paid. we must improve the quality of healthcare and create and fund programs that provide the opportunities and tools our veterans deserve.,50,Military service members have the right to care for each other. It is our solemn duty to ensure that our veterans receive the benefits they have earned. we owe a debt that must be paid. we must improve the quality of healthcare and create and fund programs that provide the opportunities and tools our veterans deserve.,7,domestic_policy
365,365,AHN ROBERT LEE,it is our solemn duty to ensure those who have sacrificed for us receive the benefits and care they have earned. we owe a debt that must be paid. we must improve the quality of healthcare and create and fund programs that provide the opportunities and tools our veterans deserve.,50,Veterans' right to healthcare is our duty. It is our solemn duty to ensure those who have sacrificed for us receive the benefits and care they have earned.we owe a debt that must be paid.we must create and fund programs to give veterans access to the tools we deserve.,5,healthcare
372,372,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44,"If kim jong uns, the leader of North Korea, continues to behave aggressively, then the world cannot afford to allow it to continue.",8,foreign_policy
374,374,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44,North Korea: the international community can no longer afford to allow aggressive and destructive behavior of the regime and allies of the United States to continue.,9,immigration
375,375,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44,Is there a possibility that the International community can continue to allow kim jong uns to sabotage the regime and its decisions regarding its laws and policies. If kim jong uns is behind this country then maybe his behavior will lead to a denial of his threat.,8,foreign_policy
377,377,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44,How can the international community prevent kim jong uns' aggressive behaviour to continue?,8,foreign_policy
379,379,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44,What is the danger from kim jong uns being a foreigner?,8,foreign_policy
393,393,AHN ROBERT LEE,"the korean american democratic committee kadc is a political action committee based out of los angeles, california. kadc is a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal electoral process.",60,"kadc is a political action committee based out of california. it's a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean American community to vote and participate in the local, state and federal electoral process.",3,election 
395,395,AHN ROBERT LEE,"the korean american democratic committee kadc is a political action committee based out of los angeles, california. kadc is a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal electoral process.",60,"kadc is a political action committee based out of Los angeles, california. kadc is a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal election.",3,election 
398,398,AHN ROBERT LEE,"the korean american democratic committee kadc is a political action committee based out of los angeles, california. kadc is a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal electoral process.",60,"kadc is a political action committee based out of los angeles, California. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal elections.",3,election 
429,429,AHN ROBERT LEE,"these, by far have been the most enjoyable and informative experiences of this entire campaign. we have already attended several coffee hours and have more coming. i really look forward to these, said robert lee ahn, congressional candidate in the race to replace xavier beccera in the 34th district. following his coffee hour that took place at the home of jennifer levin and john eisendrath in hancock park last saturday afternoon, ahn reflected on the latest in a series of events taking place throughout the district. immigration, healthcare, the environment and the trump administration top the list of issues being discussed at these informal gettogethers that are taking place in every corner of the district. its retail politics, shaking peoples hands and looking them in the eye and letting them know where i stand on the issues and hearing the issues that they want me to prioritize. people are tired of politics as usual. they want someone who can help clean up the mess in washington and who isnt beholden to special interests. they want a leader. someone who can be effective on day 1. i am that candidate, concluded ahn.",191,"Congressman robert lee ahn, in the race to replace xavier beccera in the 34th district, told reporters on a crowded street at hancock park last saturday afternoon. following his conversation with reporters on television, he reflected on the latest in a series of events taking place throughout the district. immigration, healthcare, the environment and trump administration top the list of issues being discussed at these informal gettogethers that are taking place in every corner of the",0,social_policy
432,432,AHN ROBERT LEE,it is our moral obligation to treat every person with dignity. it is essential to our national security that we fix the visa backlog. robert lee ahn will make it a priority to introduce legislation for comprehensive humane immigration reform. robert will fight to end family detention and close detention centers.,51,How is it essential to our national security that we fix the visa backlog?,6,security_policy
466,466,AHN ROBERT LEE,"upon graduation from what is now the harvardwestlake school, robert and his family moved to the wilshire center neighborhood near koreatown. he attended emory university in atlanta where he earned a bachelors degree in business administration. while at emory, robert tutored atrisk high school children in math and english, and volunteered at habitat for humanity where he worked building housing for the poor and to improve the quality of lives for the citys underserved residents.",75,"After graduating from harvardwestlake school, robert and his family moved to the wilshire center neighborhood near koreatown. robert attended emory university in atlanta where he earned a bachelors degree in business administration. while at emory, robert tutored atrisk high school children in math and english, and volunteered at Habitat for Humanity where he worked building housing for the poor and to improve the quality of lives for the",4,education
