,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,CAND_ICI,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,search_query,campaign_results_list
324,H0CA33208,"FRICKE, BRANDON",NPA,CA,33,Challenger,House,California,Other,"FRICKE, BRANDON Other California House","FRICKE, BRANDON Other California House 2021"
325,H0CA34115,"MOTIWALLA, FRANCES YASMEEN",DEM,CA,34,Challenger,House,California,Democrat,"MOTIWALLA, FRANCES YASMEEN Democrat California House","MOTIWALLA, FRANCES YASMEEN Democrat California House 2021"
326,H0CA34131,"KIM, DAVID",DEM,CA,34,Challenger,House,California,Democrat,"KIM, DAVID Democrat California House","KIM, DAVID Democrat California House 2021"
327,H2CA30143,"BECERRA, XAVIER",DEM,CA,34,Incumbent,House,California,Democrat,"BECERRA, XAVIER Democrat California House","BECERRA, XAVIER Democrat California House 2021"
328,H6CA34229,"EDWARDS, ADRIENNE",DEM,CA,34,Open seat,House,California,Democrat,"EDWARDS, ADRIENNE Democrat California House","EDWARDS, ADRIENNE Democrat California House 2021"
329,H8CA34134,"CARMONA, ARTURO",DEM,CA,34,Open seat,House,California,Democrat,"CARMONA, ARTURO Democrat California House","CARMONA, ARTURO Democrat California House 2021"
330,H8CA34142,"HERNANDEZ, SARA",DEM,CA,34,Open seat,House,California,Democrat,"HERNANDEZ, SARA Democrat California House","HERNANDEZ, SARA Democrat California House 2021"
331,H8CA34183,"CABILDO, MARIA",DEM,CA,34,Open seat,House,California,Democrat,"CABILDO, MARIA Democrat California House","CABILDO, MARIA Democrat California House 2021"
332,H8CA34191,"MENDOZA, SANDRA",DEM,CA,34,Challenger,House,California,Democrat,"MENDOZA, SANDRA Democrat California House","MENDOZA, SANDRA Democrat California House 2021"
333,H8CA34258,"AHN, ROBERT LEE",DEM,CA,34,Open seat,House,California,Democrat,"AHN, ROBERT LEE Democrat California House","AHN, ROBERT LEE Democrat California House 2021"
334,H8CA34266,"GOMEZ, JIMMY",DEM,CA,34,Incumbent,House,California,Democrat,"GOMEZ, JIMMY Democrat California House","GOMEZ, JIMMY Democrat California House 2021"
335,H0CA34149,"WRIGHT, JOANNE",REP,CA,34,Challenger,House,California,Republican,"WRIGHT, JOANNE Republican California House","WRIGHT, JOANNE Republican California House 2021"
336,H0CA34123,"PITTMAN, SHANNEL MS",GRE,CA,34,Challenger,House,California,Green,"PITTMAN, SHANNEL MS Green California House","PITTMAN, SHANNEL MS Green California House 2021"
337,H6CA34237,"MEJIA, KENNETH",GRE,CA,34,Challenger,House,California,Green,"MEJIA, KENNETH Green California House","MEJIA, KENNETH Green California House 2021"
338,H4CA35031,"TORRES, NORMA",DEM,CA,35,Incumbent,House,California,Democrat,"TORRES, NORMA Democrat California House","TORRES, NORMA Democrat California House 2021"
339,H6CA31142,"BACA, JOE",DEM,CA,35,Challenger,House,California,Democrat,"BACA, JOE Democrat California House","BACA, JOE Democrat California House 2021"
340,H0CA35146,"CARGILE, MIKE",REP,CA,35,Challenger,House,California,Republican,"CARGILE, MIKE Republican California House","CARGILE, MIKE Republican California House 2021"
341,H8CA35115,"VALIENTE, CHRISTIAN",REP,CA,35,Challenger,House,California,Republican,"VALIENTE, CHRISTIAN Republican California House","VALIENTE, CHRISTIAN Republican California House 2021"
342,H2CA36439,"RUIZ, RAUL DR.",DEM,CA,36,Incumbent,House,California,Democrat,"RUIZ, RAUL DR. Democrat California House","RUIZ, RAUL DR. Democrat California House 2021"
343,H0CA36177,"RUIZ, RAUL",REP,CA,36,Challenger,House,California,Republican,"RUIZ, RAUL Republican California House","RUIZ, RAUL Republican California House 2021"
344,H0CA36185,"STEVANOVICH, MILO MILUTIN",REP,CA,36,Challenger,House,California,Republican,"STEVANOVICH, MILO MILUTIN Republican California House","STEVANOVICH, MILO MILUTIN Republican California House 2021"
345,H0CA36193,"CRUZ, ERIN",REP,CA,36,Challenger,House,California,Republican,"CRUZ, ERIN Republican California House","CRUZ, ERIN Republican California House 2021"
346,H8CA36162,"BALL, DAN",REP,CA,36,Challenger,House,California,Republican,"BALL, DAN Republican California House","BALL, DAN Republican California House 2021"
347,H8CA36170,"PELZER, KIMBERLIN BROWN",REP,CA,36,Challenger,House,California,Republican,"PELZER, KIMBERLIN BROWN Republican California House","PELZER, KIMBERLIN BROWN Republican California House 2021"
348,H0CA33117,"BASS, KAREN",DEM,CA,37,Incumbent,House,California,Democrat,"BASS, KAREN Democrat California House","BASS, KAREN Democrat California House 2021"
349,H0CA37167,"WEBBER, ERROL MR.",REP,CA,37,Challenger,House,California,Republican,"WEBBER, ERROL MR. Republican California House","WEBBER, ERROL MR. Republican California House 2021"
350,H8CA37293,"BASSILIAN, RON",REP,CA,37,Challenger,House,California,Republican,"BASSILIAN, RON Republican California House","BASSILIAN, RON Republican California House 2021"
351,H0CA37175,"THOMPSON, LARRY",NPA,CA,37,Challenger,House,California,Other,"THOMPSON, LARRY Other California House","THOMPSON, LARRY Other California House 2021"
352,H2CA39078,"SANCHEZ, LINDA",DEM,CA,38,Incumbent,House,California,Democrat,"SANCHEZ, LINDA Democrat California House","SANCHEZ, LINDA Democrat California House 2021"
353,H2CA39136,"CHEN, JAY",DEM,CA,39,Challenger,House,California,Democrat,"CHEN, JAY Democrat California House","CHEN, JAY Democrat California House 2021"
354,H8CA39133,"JANOWICZ, PHIL ANDREW DR.",DEM,CA,39,Open seat,House,California,Democrat,"JANOWICZ, PHIL ANDREW DR. Democrat California House","JANOWICZ, PHIL ANDREW DR. Democrat California House 2021"
355,H8CA39158,"TRAN, MAI-KHANH",DEM,CA,39,Open seat,House,California,Democrat,"TRAN, MAI-KHANH Democrat California House","TRAN, MAI-KHANH Democrat California House 2021"
356,H8CA39166,"JAMMAL, SAMIR",DEM,CA,39,Open seat,House,California,Democrat,"JAMMAL, SAMIR Democrat California House","JAMMAL, SAMIR Democrat California House 2021"
357,H8CA39174,"CISNEROS, GILBERT",DEM,CA,39,Incumbent,House,California,Democrat,"CISNEROS, GILBERT Democrat California House","CISNEROS, GILBERT Democrat California House 2021"
358,H8CA39182,"THORBURN, ANDY",DEM,CA,39,Open seat,House,California,Democrat,"THORBURN, ANDY Democrat California House","THORBURN, ANDY Democrat California House 2021"
359,H8CA39299,"LEE, HERBERT",DEM,CA,39,Open seat,House,California,Democrat,"LEE, HERBERT Democrat California House","LEE, HERBERT Democrat California House 2021"
360,H2CA46123,"CULLUM, JOHN J",REP,CA,39,Open seat,House,California,Republican,"CULLUM, JOHN J Republican California House","CULLUM, JOHN J Republican California House 2021"
361,H8CA39232,"NELSON, SHAWN",REP,CA,39,Open seat,House,California,Republican,"NELSON, SHAWN Republican California House","NELSON, SHAWN Republican California House 2021"
362,H8CA39240,"KIM, YOUNG",REP,CA,39,Challenger,House,California,Republican,"KIM, YOUNG Republican California House","KIM, YOUNG Republican California House 2021"
363,H0CA40120,"FELIX, ANTHONY DR. JR.",DEM,CA,40,Challenger,House,California,Democrat,"FELIX, ANTHONY DR. JR. Democrat California House","FELIX, ANTHONY DR. JR. Democrat California House 2021"
364,H2CA33048,"ROYBAL-ALLARD, LUCILLE",DEM,CA,40,Incumbent,House,California,Democrat,"ROYBAL-ALLARD, LUCILLE Democrat California House","ROYBAL-ALLARD, LUCILLE Democrat California House 2021"
365,H0CA40138,"DELGADO, ANTONIO",REP,CA,40,Challenger,House,California,Republican,"DELGADO, ANTONIO Republican California House","DELGADO, ANTONIO Republican California House 2021"
366,H8CA40206,"CORTES BARRAGAN, RODOLFO",GRE,CA,40,Challenger,House,California,Green,"CORTES BARRAGAN, RODOLFO Green California House","CORTES BARRAGAN, RODOLFO Green California House 2021"
367,H0CA40104,"RIVERA, JUAN LUIS",LIB,CA,40,Challenger,House,California,Libertarian,"RIVERA, JUAN LUIS Libertarian California House","RIVERA, JUAN LUIS Libertarian California House 2021"
368,H0CA49113,"WILLIAMS, GRACE I DR",DEM,CA,41,Challenger,House,California,Democrat,"WILLIAMS, GRACE I DR Democrat California House","WILLIAMS, GRACE I DR Democrat California House 2021"
369,H2CA43245,"TAKANO, MARK",DEM,CA,41,Incumbent,House,California,Democrat,"TAKANO, MARK Democrat California House","TAKANO, MARK Democrat California House 2021"
370,H6CA41182,"SHEPHERD, DOUG",REP,CA,41,Challenger,House,California,Republican,"SHEPHERD, DOUG Republican California House","SHEPHERD, DOUG Republican California House 2021"
371,H8CA41170,"SMITH, AJA",REP,CA,41,Challenger,House,California,Republican,"SMITH, AJA Republican California House","SMITH, AJA Republican California House 2021"
372,H0CA42217,"O'MARA, WILLIAM EDWARD DR IV",DEM,CA,42,Challenger,House,California,Democrat,"O'MARA, WILLIAM EDWARD DR IV Democrat California House","O'MARA, WILLIAM EDWARD DR IV Democrat California House 2021"
373,H0CA42233,"MARSTON, REGINA L MRS",DEM,CA,42,Challenger,House,California,Democrat,"MARSTON, REGINA L MRS Democrat California House","MARSTON, REGINA L MRS Democrat California House 2021"
374,H4CA42086,"SHERIDAN, TIMOTHY J",DEM,CA,42,Challenger,House,California,Democrat,"SHERIDAN, TIMOTHY J Democrat California House","SHERIDAN, TIMOTHY J Democrat California House 2021"
375,H8CA42228,"PEACOCK, JULIA C.",DEM,CA,42,Challenger,House,California,Democrat,"PEACOCK, JULIA C. Democrat California House","PEACOCK, JULIA C. Democrat California House 2021"
376,H0CA42225,"FRITZ, DAVID",REP,CA,42,Challenger,House,California,Republican,"FRITZ, DAVID Republican California House","FRITZ, DAVID Republican California House 2021"
377,H2CA37023,"CALVERT, KEN",REP,CA,42,Incumbent,House,California,Republican,"CALVERT, KEN Republican California House","CALVERT, KEN Republican California House 2021"
378,H4CA23011,"WATERS, MAXINE",DEM,CA,43,Incumbent,House,California,Democrat,"WATERS, MAXINE Democrat California House","WATERS, MAXINE Democrat California House 2021"
379,H0CA43108,"COLLINS, JOE",REP,CA,43,Challenger,House,California,Republican,"COLLINS, JOE Republican California House","COLLINS, JOE Republican California House 2021"
380,H6CA44145,"NAVARRO, OMAR",REP,CA,43,Challenger,House,California,Republican,"NAVARRO, OMAR Republican California House","NAVARRO, OMAR Republican California House 2021"
381,H0CA44148,"MCDONALD TRANI, ANNETTE",DEM,CA,44,Challenger,House,California,Democrat,"MCDONALD TRANI, ANNETTE Democrat California House","MCDONALD TRANI, ANNETTE Democrat California House 2021"
382,H2CA35100,"HALL, ISADORE III",DEM,CA,44,Challenger,House,California,Democrat,"HALL, ISADORE III Democrat California House","HALL, ISADORE III Democrat California House 2021"
383,H6CA44103,"BARRAGAN, NANETTE",DEM,CA,44,Incumbent,House,California,Democrat,"BARRAGAN, NANETTE Democrat California House","BARRAGAN, NANETTE Democrat California House 2021"
384,H8CA44117,"BROWN, AJA",DEM,CA,44,Challenger,House,California,Democrat,"BROWN, AJA Democrat California House","BROWN, AJA Democrat California House 2021"
385,H0CA44189,"EARLEY, BILLY",REP,CA,44,Challenger,House,California,Republican,"EARLEY, BILLY Republican California House","EARLEY, BILLY Republican California House 2021"
386,H0CA45145,"PAI, ADITYA",DEM,CA,45,Challenger,House,California,Democrat,"PAI, ADITYA Democrat California House","PAI, ADITYA Democrat California House 2021"
387,H2CA48095,"VARASTEH, RON",DEM,CA,45,Challenger,House,California,Democrat,"VARASTEH, RON Democrat California House","VARASTEH, RON Democrat California House 2021"
388,H4CA49107,"LEAVENS, DREW EUGENE",DEM,CA,45,Challenger,House,California,Democrat,"LEAVENS, DREW EUGENE Democrat California House","LEAVENS, DREW EUGENE Democrat California House 2021"
389,H8CA45130,"PORTER, KATHERINE",DEM,CA,45,Incumbent,House,California,Democrat,"PORTER, KATHERINE Democrat California House","PORTER, KATHERINE Democrat California House 2021"
390,H8CA45189,"FORDE, BRIAN",DEM,CA,45,Challenger,House,California,Democrat,"FORDE, BRIAN Democrat California House","FORDE, BRIAN Democrat California House 2021"
391,H0CA45087,"SEDGWICK, DONALD M",REP,CA,45,Challenger,House,California,Republican,"SEDGWICK, DONALD M Republican California House","SEDGWICK, DONALD M Republican California House 2021"
392,H0CA45095,"HUANG, PEGGY",REP,CA,45,Challenger,House,California,Republican,"HUANG, PEGGY Republican California House","HUANG, PEGGY Republican California House 2021"
393,H0CA45103,"GENNAWEY, RAY",REP,CA,45,Challenger,House,California,Republican,"GENNAWEY, RAY Republican California House","GENNAWEY, RAY Republican California House 2021"
394,H0CA45111,"WOOLWORTH, BRENTON",REP,CA,45,Challenger,House,California,Republican,"WOOLWORTH, BRENTON Republican California House","WOOLWORTH, BRENTON Republican California House 2021"
395,H0CA45129,"SPARKS, LISA",REP,CA,45,Challenger,House,California,Republican,"SPARKS, LISA Republican California House","SPARKS, LISA Republican California House 2021"
396,H0CA45160,"GONZALES, CHRISTOPHER JOHN",REP,CA,45,Challenger,House,California,Republican,"GONZALES, CHRISTOPHER JOHN Republican California House","GONZALES, CHRISTOPHER JOHN Republican California House 2021"
397,H4CA45089,"RATHS, GREGORY GERARD",REP,CA,45,Challenger,House,California,Republican,"RATHS, GREGORY GERARD Republican California House","RATHS, GREGORY GERARD Republican California House 2021"
398,H4CA45097,"WALTERS, MIMI",REP,CA,45,Challenger,House,California,Republican,"WALTERS, MIMI Republican California House","WALTERS, MIMI Republican California House 2021"
399,H0CA46085,"MENDIOLEA, PABLO",DEM,CA,46,Challenger,House,California,Democrat,"MENDIOLEA, PABLO Democrat California House","MENDIOLEA, PABLO Democrat California House 2021"
400,H6CA46116,"CORREA, LOU",DEM,CA,46,Incumbent,House,California,Democrat,"CORREA, LOU Democrat California House","CORREA, LOU Democrat California House 2021"
401,H6CA46157,"DUNN, JOSEPH",DEM,CA,46,Open seat,House,California,Democrat,"DUNN, JOSEPH Democrat California House","DUNN, JOSEPH Democrat California House 2021"
402,H0CA46077,"WATERS, JAMES STEVENS",REP,CA,46,Challenger,House,California,Republican,"WATERS, JAMES STEVENS Republican California House","WATERS, JAMES STEVENS Republican California House 2021"
403,H0CA47158,"ROSHAN, SHAWN",DEM,CA,47,Challenger,House,California,Democrat,"ROSHAN, SHAWN Democrat California House","ROSHAN, SHAWN Democrat California House 2021"
404,H0CA47166,"MATHEWS, PETER",DEM,CA,47,Challenger,House,California,Democrat,"MATHEWS, PETER Democrat California House","MATHEWS, PETER Democrat California House 2021"
405,H2CA00104,"LOWENTHAL, ALAN",DEM,CA,47,Incumbent,House,California,Democrat,"LOWENTHAL, ALAN Democrat California House","LOWENTHAL, ALAN Democrat California House 2021"
406,H0CA47133,"MOUA, SOU",REP,CA,47,Challenger,House,California,Republican,"MOUA, SOU Republican California House","MOUA, SOU Republican California House 2021"
407,H0CA47141,"WEST, AMY PHAN",REP,CA,47,Challenger,House,California,Republican,"WEST, AMY PHAN Republican California House","WEST, AMY PHAN Republican California House 2021"
408,H4CA47069,"WHALLON, ANDREW",REP,CA,47,Challenger,House,California,Republican,"WHALLON, ANDREW Republican California House","WHALLON, ANDREW Republican California House 2021"
409,H8CA47060,"CLIFFORD, DAVID",REP,CA,47,Challenger,House,California,Republican,"CLIFFORD, DAVID Republican California House","CLIFFORD, DAVID Republican California House 2021"
410,H8CA47078,"BRISCOE, JOHN",REP,CA,47,Challenger,House,California,Republican,"BRISCOE, JOHN Republican California House","BRISCOE, JOHN Republican California House 2021"
411,H6CA48237,"SAVARY, SUZANNE JOYCE",DEM,CA,48,Challenger,House,California,Democrat,"SAVARY, SUZANNE JOYCE Democrat California House","SAVARY, SUZANNE JOYCE Democrat California House 2021"
412,H8CA48035,"ROUDA, HARLEY E JR",DEM,CA,48,Incumbent,House,California,Democrat,"ROUDA, HARLEY E JR Democrat California House","ROUDA, HARLEY E JR Democrat California House 2021"
413,H8CA48043,"OATMAN, LAURA",DEM,CA,48,Challenger,House,California,Democrat,"OATMAN, LAURA Democrat California House","OATMAN, LAURA Democrat California House 2021"
414,H8CA48076,"KEIRSTEAD, HANS",DEM,CA,48,Challenger,House,California,Democrat,"KEIRSTEAD, HANS Democrat California House","KEIRSTEAD, HANS Democrat California House 2021"
415,H8CA48084,"SIDDIQUI, OMAR A.",DEM,CA,48,Challenger,House,California,Democrat,"SIDDIQUI, OMAR A. Democrat California House","SIDDIQUI, OMAR A. Democrat California House 2021"
416,H8CA48100,"KOTICK, MICHAEL",DEM,CA,48,Challenger,House,California,Democrat,"KOTICK, MICHAEL Democrat California House","KOTICK, MICHAEL Democrat California House 2021"
417,H0CA48172,"BURLEY, BRIAN J MR.",REP,CA,48,Challenger,House,California,Republican,"BURLEY, BRIAN J MR. Republican California House","BURLEY, BRIAN J MR. Republican California House 2021"
418,H0CA48198,"STEEL, MICHELLE",REP,CA,48,Challenger,House,California,Republican,"STEEL, MICHELLE Republican California House","STEEL, MICHELLE Republican California House 2021"
419,H0CA48206,"ENGELS, CHRISTOPHER MICHAEL",REP,CA,48,Challenger,House,California,Republican,"ENGELS, CHRISTOPHER MICHAEL Republican California House","ENGELS, CHRISTOPHER MICHAEL Republican California House 2021"
420,H6CA48245,"BAUGH, SCOTT",REP,CA,48,Challenger,House,California,Republican,"BAUGH, SCOTT Republican California House","BAUGH, SCOTT Republican California House 2021"
421,H8CA40057,"COX, CHRISTOPHER HON.",REP,CA,48,Challenger,House,California,Republican,"COX, CHRISTOPHER HON. Republican California House","COX, CHRISTOPHER HON. Republican California House 2021"
422,H8CA42061,"ROHRABACHER, DANA",REP,CA,48,Incumbent,House,California,Republican,"ROHRABACHER, DANA Republican California House","ROHRABACHER, DANA Republican California House 2021"
423,H6CA49102,"APPLEGATE, DOUGLAS LOREN",DEM,CA,49,Open seat,House,California,Democrat,"APPLEGATE, DOUGLAS LOREN Democrat California House","APPLEGATE, DOUGLAS LOREN Democrat California House 2021"
424,H8CA49058,"LEVIN, MIKE",DEM,CA,49,Incumbent,House,California,Democrat,"LEVIN, MIKE Democrat California House","LEVIN, MIKE Democrat California House 2021"
425,H8CA49074,"JACOBS, SARA",DEM,CA,49,Open seat,House,California,Democrat,"JACOBS, SARA Democrat California House","JACOBS, SARA Democrat California House 2021"
426,H0CA48024,"ISSA, DARRELL",REP,CA,49,Incumbent,House,California,Republican,"ISSA, DARRELL Republican California House","ISSA, DARRELL Republican California House 2021"
427,H0CA49121,"KNOBLOCK, STEVEN CRAIG",REP,CA,49,Challenger,House,California,Republican,"KNOBLOCK, STEVEN CRAIG Republican California House","KNOBLOCK, STEVEN CRAIG Republican California House 2021"
428,H0CA49139,"FORTIN, MARA",REP,CA,49,Challenger,House,California,Republican,"FORTIN, MARA Republican California House","FORTIN, MARA Republican California House 2021"
429,H8CA49082,"HARKEY, DIANE",REP,CA,49,Open seat,House,California,Republican,"HARKEY, DIANE Republican California House","HARKEY, DIANE Republican California House 2021"
430,H8CA49090,"GASPAR, KRISTIN",REP,CA,49,Open seat,House,California,Republican,"GASPAR, KRISTIN Republican California House","GASPAR, KRISTIN Republican California House 2021"
431,H8CA49108,"MARYOTT, BRIAN L MR",REP,CA,49,Challenger,House,California,Republican,"MARYOTT, BRIAN L MR Republican California House","MARYOTT, BRIAN L MR Republican California House 2021"
432,H8CA49132,"SCHMITT, MICHAEL D",REP,CA,49,Open seat,House,California,Republican,"SCHMITT, MICHAEL D Republican California House","SCHMITT, MICHAEL D Republican California House 2021"
433,H8CA49157,"NORDAL, CRAIG",REP,CA,49,Open seat,House,California,Republican,"NORDAL, CRAIG Republican California House","NORDAL, CRAIG Republican California House 2021"
434,H0CA50103,"BALKIN, ALEX",DEM,CA,50,Open seat,House,California,Democrat,"BALKIN, ALEX Democrat California House","BALKIN, ALEX Democrat California House 2021"
435,H0CA53131,"CALDERON, MARISA",DEM,CA,50,Open seat,House,California,Democrat,"CALDERON, MARISA Democrat California House","CALDERON, MARISA Democrat California House 2021"
436,H6CA50258,"MALLOY, JEFFREY",DEM,CA,50,Challenger,House,California,Democrat,"MALLOY, JEFFREY Democrat California House","MALLOY, JEFFREY Democrat California House 2021"
437,H8CA50098,"CAMPA-NAJJAR, AMMAR",DEM,CA,50,Open seat,House,California,Democrat,"CAMPA-NAJJAR, AMMAR Democrat California House","CAMPA-NAJJAR, AMMAR Democrat California House 2021"
438,H0CA50111,"WILSKE, LARRY A MR.",REP,CA,50,Open seat,House,California,Republican,"WILSKE, LARRY A MR. Republican California House","WILSKE, LARRY A MR. Republican California House 2021"
439,H0CA50129,"ABED, SAM",REP,CA,50,Open seat,House,California,Republican,"ABED, SAM Republican California House","ABED, SAM Republican California House 2021"
440,H0CA50145,"DEMAIO, CARL",REP,CA,50,Open seat,House,California,Republican,"DEMAIO, CARL Republican California House","DEMAIO, CARL Republican California House 2021"
441,H0CA50202,"WILKINS, NATHAN ""NATE""",REP,CA,50,Open seat,House,California,Republican,"WILKINS, NATHAN ""NATE"" Republican California House","WILKINS, NATHAN ""NATE"" Republican California House 2021"
442,H8CA50163,"WELLS, WILLIAM DANIEL",REP,CA,50,Open seat,House,California,Republican,"WELLS, WILLIAM DANIEL Republican California House","WELLS, WILLIAM DANIEL Republican California House 2021"
443,H8CA52037,"JONES, BRIAN W",REP,CA,50,Open seat,House,California,Republican,"JONES, BRIAN W Republican California House","JONES, BRIAN W Republican California House 2021"
444,H8CA52052,"HUNTER, DUNCAN D",REP,CA,50,Incumbent,House,California,Republican,"HUNTER, DUNCAN D Republican California House","HUNTER, DUNCAN D Republican California House 2021"
445,H2CA50174,"HOULAHAN, STEPHEN WILLIAM",IND,CA,50,,House,California,Independent,"HOULAHAN, STEPHEN WILLIAM Independent California House","HOULAHAN, STEPHEN WILLIAM Independent California House 2021"
446,H0CA50137,"EDICK, DAVID DANIEL JR",NNE,CA,50,Open seat,House,California,Other,"EDICK, DAVID DANIEL JR Other California House","EDICK, DAVID DANIEL JR Other California House 2021"
447,H2CA50026,"VARGAS, JUAN CARLOS",DEM,CA,51,Incumbent,House,California,Democrat,"VARGAS, JUAN CARLOS Democrat California House","VARGAS, JUAN CARLOS Democrat California House 2021"
448,H0CA51051,"RODRIGUEZ, SAUL ALEJANDRO",REP,CA,51,Challenger,House,California,Republican,"RODRIGUEZ, SAUL ALEJANDRO Republican California House","RODRIGUEZ, SAUL ALEJANDRO Republican California House 2021"
449,H8CA51054,"RENISON, JOHN",REP,CA,51,Challenger,House,California,Republican,"RENISON, JOHN Republican California House","RENISON, JOHN Republican California House 2021"
450,H8CA51062,"HIDALGO, JUAN M SGTMAJ JR",REP,CA,51,Challenger,House,California,Republican,"HIDALGO, JUAN M SGTMAJ JR Republican California House","HIDALGO, JUAN M SGTMAJ JR Republican California House 2021"
451,H0CA52067,"CASADY, NANCY LEE",DEM,CA,52,Challenger,House,California,Democrat,"CASADY, NANCY LEE Democrat California House","CASADY, NANCY LEE Democrat California House 2021"
452,H2CA52089,"PETERS, SCOTT",DEM,CA,52,Incumbent,House,California,Democrat,"PETERS, SCOTT Democrat California House","PETERS, SCOTT Democrat California House 2021"
453,H0CA52083,"DEBELLO, JAMES",REP,CA,52,Challenger,House,California,Republican,"DEBELLO, JAMES Republican California House","DEBELLO, JAMES Republican California House 2021"
454,H4CA52051,"DEMAIO, CARL",REP,CA,52,Challenger,House,California,Republican,"DEMAIO, CARL Republican California House","DEMAIO, CARL Republican California House 2021"
455,H8CA52102,"QUDRAT, OMAR",REP,CA,52,Challenger,House,California,Republican,"QUDRAT, OMAR Republican California House","QUDRAT, OMAR Republican California House 2021"
456,H8CA52110,"VELTMEYER, JAMES",REP,CA,52,Challenger,House,California,Republican,"VELTMEYER, JAMES Republican California House","VELTMEYER, JAMES Republican California House 2021"
457,H0CA52075,"CUNNINGHAM, RYAN BARRETT",NPA,CA,52,Challenger,House,California,Other,"CUNNINGHAM, RYAN BARRETT Other California House","CUNNINGHAM, RYAN BARRETT Other California House 2021"
458,H0CA49055,"DAVIS, SUSAN A.",DEM,CA,53,Incumbent,House,California,Democrat,"DAVIS, SUSAN A. Democrat California House","DAVIS, SUSAN A. Democrat California House 2021"
459,H0CA53073,"RAMON CABALLERO, JOSE IIII",DEM,CA,53,Open seat,House,California,Democrat,"RAMON CABALLERO, JOSE IIII Democrat California House","RAMON CABALLERO, JOSE IIII Democrat California House 2021"
460,H0CA53081,"VAZQUEZ, JOAQUIN",DEM,CA,53,Open seat,House,California,Democrat,"VAZQUEZ, JOAQUIN Democrat California House","VAZQUEZ, JOAQUIN Democrat California House 2021"
461,H0CA53099,"FIELDS, ZACK",DEM,CA,53,Open seat,House,California,Democrat,"FIELDS, ZACK Democrat California House","FIELDS, ZACK Democrat California House 2021"
462,H0CA53107,"GOMEZ, GEORGETTE",DEM,CA,53,Open seat,House,California,Democrat,"GOMEZ, GEORGETTE Democrat California House","GOMEZ, GEORGETTE Democrat California House 2021"
463,H0CA53123,"GOLDBECK, JANESSA",DEM,CA,53,Open seat,House,California,Democrat,"GOLDBECK, JANESSA Democrat California House","GOLDBECK, JANESSA Democrat California House 2021"
464,H0CA53156,"FOX, DEVORAH ANN DR. PSY.D",DEM,CA,53,Open seat,House,California,Democrat,"FOX, DEVORAH ANN DR. PSY.D Democrat California House","FOX, DEVORAH ANN DR. PSY.D Democrat California House 2021"
465,H0CA53164,"MEZA, ANNETTE",DEM,CA,53,Open seat,House,California,Democrat,"MEZA, ANNETTE Democrat California House","MEZA, ANNETTE Democrat California House 2021"
466,H0CA53172,"BROOKS II, JOHN L",DEM,CA,53,Open seat,House,California,Democrat,"BROOKS II, JOHN L Democrat California House","BROOKS II, JOHN L Democrat California House 2021"
467,H0CA53180,"KUTNER, ERIC ROGER",DEM,CA,53,Open seat,House,California,Democrat,"KUTNER, ERIC ROGER Democrat California House","KUTNER, ERIC ROGER Democrat California House 2021"
468,H0CA53222,"FOUNTAIN, JOSEPH DR.",DEM,CA,53,Open seat,House,California,Democrat,"FOUNTAIN, JOSEPH DR. Democrat California House","FOUNTAIN, JOSEPH DR. Democrat California House 2021"
469,H0CA53230,"WONG, TOM K",DEM,CA,53,Open seat,House,California,Democrat,"WONG, TOM K Democrat California House","WONG, TOM K Democrat California House 2021"
470,H0CA53248,"SANTORI, SUZETTE",DEM,CA,53,Open seat,House,California,Democrat,"SANTORI, SUZETTE Democrat California House","SANTORI, SUZETTE Democrat California House 2021"
471,H0CA52059,"RAMOS, FAMELA SALDANA",REP,CA,53,Open seat,House,California,Republican,"RAMOS, FAMELA SALDANA Republican California House","RAMOS, FAMELA SALDANA Republican California House 2021"
472,H0CA53214,"ORISTIAN, MICHAEL PATRICK",REP,CA,53,Open seat,House,California,Republican,"ORISTIAN, MICHAEL PATRICK Republican California House","ORISTIAN, MICHAEL PATRICK Republican California House 2021"
473,H0CO01136,"DURAN, CRISANTA DESIRAE",DEM,CO,1,Challenger,House,Colorado,Democrat,"DURAN, CRISANTA DESIRAE Democrat Colorado House","DURAN, CRISANTA DESIRAE Democrat Colorado House 2021"
474,H6CO01141,"DEGETTE, DIANA L",DEM,CO,1,Incumbent,House,Colorado,Democrat,"DEGETTE, DIANA L Democrat Colorado House","DEGETTE, DIANA L Democrat Colorado House 2021"
475,H8CO01113,"HUDSON HALE, MICHELLE R",DEM,CO,1,Challenger,House,Colorado,Democrat,"HUDSON HALE, MICHELLE R Democrat Colorado House","HUDSON HALE, MICHELLE R Democrat Colorado House 2021"
476,H8CO01154,"RAO, SAIRA",DEM,CO,1,Challenger,House,Colorado,Democrat,"RAO, SAIRA Democrat Colorado House","RAO, SAIRA Democrat Colorado House 2021"
477,H0CO02233,"BOLLING, SHANE",REP,CO,1,Challenger,House,Colorado,Republican,"BOLLING, SHANE Republican Colorado House","BOLLING, SHANE Republican Colorado House 2021"
478,H8CO02160,"NEGUSE, JOSEPH",DEM,CO,2,Incumbent,House,Colorado,Democrat,"NEGUSE, JOSEPH Democrat Colorado House","NEGUSE, JOSEPH Democrat Colorado House 2021"
